번호,질문,의도,난이도,도메인,언어,어절수,키워드_포함
1,회생법 관련 무료 법률 상담이 있나요?,정보,쉬움,법무,KO,6,법무분야
2,국제법 변호사 상담은 어떤 식으로 하나요?,정보,쉬움,법무,KO,6,법무분야
3,영남권 지역 IT통신 법률 서비스 현황은?,정보,쉬움,법무,KO,6,"법무분야, 지역"
4,기업법무 분야 변호사 자격 요건은?,정보,쉬움,법무,KO,5,법무분야
5,수영구에서 소송분쟁해결 전문 변호사를 찾는 방법은?,정보,쉬움,법무,KO,6,"법무분야, 지역"
6,IT통신 분야 변호사 자격 요건은?,정보,쉬움,법무,KO,5,법무분야
7,지적재산권 관련 무료 법률 상담이 있나요?,정보,쉬움,법무,KO,6,법무분야
8,부동산법무 관련 법률 절차를 간단히 설명해주세요,정보,쉬움,법무,KO,6,법무분야
9,환경 분야 평균 변호사 비용이 궁금해요,정보,쉬움,법무,KO,6,법무분야
10,부산에서 회생법 관련 법원은 어디인가요?,정보,쉬움,법무,KO,5,"법무분야, 지역"
11,기업법무 사건 처리 기간은 보통 얼마나 걸리나요?,정보,쉬움,법무,KO,7,법무분야
12,계약법무 수임료는 대략 얼마 정도인가요?,정보,쉬움,법무,KO,5,법무분야
13,행정법 변호사 상담은 어떤 식으로 하나요?,정보,쉬움,법무,KO,6,법무분야
14,보험법 사건 처리 기간은 보통 얼마나 걸리나요?,정보,쉬움,법무,KO,7,법무분야
15,금융법무 사건 처리 기간은 보통 얼마나 걸리나요?,정보,쉬움,법무,KO,7,법무분야
16,증권법 변호사와 첫 상담 시 무엇을 물어봐야 하나요?,정보,쉬움,법무,KO,8,법무분야
17,지적재산권 사건은 보통 어떻게 진행되나요?,정보,쉬움,법무,KO,5,법무분야
18,의료헬스케어 사건에서 준비해야 할 서류는 뭐가 있나요?,정보,쉬움,법무,KO,7,법무분야
19,해운대 지역 부동산법무 법률 서비스 현황은?,정보,쉬움,법무,KO,6,"법무분야, 지역"
20,헌법 변호사 상담은 어떤 식으로 하나요?,정보,쉬움,법무,KO,6,법무분야
21,부동산법무 사건 증거 수집 방법을 알려주세요,정보,쉬움,법무,KO,6,법무분야
22,가족법 분야 변호사 자격 요건은?,정보,쉬움,법무,KO,5,법무분야
23,영남권 지역 의료헬스케어 법률 서비스 현황은?,정보,쉬움,법무,KO,6,"법무분야, 지역"
24,금융법무 관련 기본 정보를 알려주세요,정보,쉬움,법무,KO,5,법무분야
25,의료헬스케어 분야 평균 변호사 비용이 궁금해요,정보,쉬움,법무,KO,6,법무분야
26,지적재산권 관련 기본 정보를 알려주세요,정보,쉬움,법무,KO,5,법무분야
27,형사법무 사건 증거 수집 방법을 알려주세요,정보,쉬움,법무,KO,6,법무분야
28,조세법무 관련 기본 정보를 알려주세요,정보,쉬움,법무,KO,5,법무분야
29,금융법무 사건은 보통 어떻게 진행되나요?,정보,쉬움,법무,KO,5,법무분야
30,소송분쟁해결 변호사 선택 시 주의사항은?,정보,쉬움,법무,KO,5,법무분야
31,행정법 변호사와 첫 상담 시 무엇을 물어봐야 하나요?,정보,쉬움,법무,KO,8,법무분야
32,증권법 변호사 선택 시 주의사항은?,정보,쉬움,법무,KO,5,법무분야
33,의료헬스케어 관련 법률 용어를 쉽게 설명해주세요,정보,쉬움,법무,KO,6,법무분야
34,동남권에서 환경 관련 법원은 어디인가요?,정보,쉬움,법무,KO,5,"법무분야, 지역"
35,상속법 분야 평균 변호사 비용이 궁금해요,정보,쉬움,법무,KO,6,법무분야
36,IT통신 관련 기본 정보를 알려주세요,정보,쉬움,법무,KO,5,법무분야
37,헌법 변호사와 첫 상담 시 무엇을 물어봐야 하나요?,정보,쉬움,법무,KO,8,법무분야
38,기업법무 분야 평균 변호사 비용이 궁금해요,정보,쉬움,법무,KO,6,법무분야
