번호,질문,의도,난이도,도메인,언어,어절수,키워드_포함
1,동래 로펌 노동법무 수임료는 어느 정도인가요?,탐색,쉬움,동래,KO,6,"동래, 법무분야"
2,부산 개인정보 전문 동래 로펌 평판은 어떤가요?,정보,쉬움,동래,KO,7,"동래, 법무분야, 지역"
3,부산 의료헬스케어 전문 동래 로펌 평판은 어떤가요?,정보,쉬움,동래,KO,7,"동래, 법무분야, 지역"
4,행정법 초기 대응 동래 법률사무소 도움받고 싶어요,거래,쉬움,동래,KO,7,"동래, 법무분야"
5,부산 부산에서 조세법무 전문 변호사 찾고 있어요,정보,쉬움,동래,KO,7,"법무분야, 지역"
6,행정법 관련 동래 법률사무소 상담 가능한가요?,탐색,쉬움,동래,KO,6,"동래, 법무분야"
7,조세법무 관련 동래 법률사무소 상담 가능한가요?,정보,쉬움,동래,KO,6,"동래, 법무분야"
8,부산 노동법무 전문 동래 로펌 평판은 어떤가요?,거래,쉬움,동래,KO,7,"동래, 법무분야, 지역"
9,부산 환경 전문 동래 로펌 평판은 어떤가요?,정보,쉬움,동래,KO,7,"동래, 법무분야, 지역"
10,부산 IT통신 전문 동래 로펌 평판은 어떤가요?,정보,쉬움,동래,KO,7,"동래, 법무분야, 지역"
11,동래 로펌 개인정보 수임료는 어느 정도인가요?,정보,쉬움,동래,KO,6,"동래, 법무분야"
12,노동법무 관련 동래 법률사무소 상담 가능한가요?,거래,쉬움,동래,KO,6,"동래, 법무분야"
13,회생법 사건으로 동래 법률사무소 방문 예약하고 싶어요,정보,쉬움,동래,KO,7,"동래, 법무분야"
14,국제법 초기 대응 동래 법률사무소 도움받고 싶어요,정보,쉬움,동래,KO,7,"동래, 법무분야"
15,해운대 거주자인데 동래 로펌 국제법 상담 받고 싶어요,정보,쉬움,동래,KO,8,"동래, 법무분야, 지역"
16,부산지방법원 계약법무 소송 동래 로펌 도움받을 수 있나요?,정보,쉬움,동래,KO,8,"동래, 법무분야, 지역"
17,지적재산권 사건으로 동래 법률사무소 방문 예약하고 싶어요,거래,쉬움,동래,KO,7,"동래, 법무분야"
18,기장군 거주자인데 동래 로펌 건설인프라 상담 받고 싶어요,거래,쉬움,동래,KO,8,"동래, 법무분야, 지역"
19,조세법무 사건으로 동래 법률사무소 방문 예약하고 싶어요,거래,쉬움,동래,KO,7,"동래, 법무분야"
20,동래 법률사무소 형사법무 변호사 경력이 궁금해요,거래,쉬움,동래,KO,6,"동래, 법무분야"
21,동래 로펌 기업법무 수임료는 어느 정도인가요?,탐색,쉬움,동래,KO,6,"동래, 법무분야"
22,부산 형사법무 전문 동래 로펌 평판은 어떤가요?,탐색,쉬움,동래,KO,7,"동래, 법무분야, 지역"
23,계약법무 초기 대응 동래 법률사무소 도움받고 싶어요,거래,쉬움,동래,KO,7,"동래, 법무분야"
24,동래 법률사무소 국제법 관련 무료상담 있나요?,거래,쉬움,동래,KO,6,"동래, 법무분야"
25,동래 법률사무소 계약법무 변호사 경력이 궁금해요,정보,쉬움,동래,KO,6,"동래, 법무분야"
26,동남권 거주자인데 동래 로펌 개인정보 상담 받고 싶어요,탐색,쉬움,동래,KO,8,"동래, 법무분야, 지역"
27,형사법무 초기 대응 동래 법률사무소 도움받고 싶어요,탐색,쉬움,동래,KO,7,"동래, 법무분야"
28,부산지방법원 건설인프라 소송 동래 로펌 도움받을 수 있나요?,탐색,쉬움,동래,KO,8,"동래, 법무분야, 지역"
29,동래 로펌 행정법 수임료는 어느 정도인가요?,거래,쉬움,동래,KO,6,"동래, 법무분야"
30,동래 법률사무소 형사법무 관련 무료상담 있나요?,탐색,쉬움,동래,KO,6,"동래, 법무분야"
31,가족법 초기 대응 동래 법률사무소 도움받고 싶어요,거래,쉬움,동래,KO,7,"동래, 법무분야"
32,해운대 거주자인데 동래 로펌 노동법무 상담 받고 싶어요,탐색,쉬움,동래,KO,8,"동래, 법무분야, 지역"
33,동래 로펌 회생법 수임료는 어느 정도인가요?,정보,쉬움,동래,KO,6,"동래, 법무분야"
34,금융법무 사건으로 동래 법률사무소 방문 예약하고 싶어요,탐색,쉬움,동래,KO,7,"동래, 법무분야"
35,동래 법률사무소 증권법 변호사 경력이 궁금해요,탐색,쉬움,동래,KO,6,"동래, 법무분야"
36,경상남도 거주자인데 동래 로펌 지적재산권 상담 받고 싶어요,탐색,쉬움,동래,KO,8,"동래, 법무분야, 지역"
37,서면 거주자인데 동래 로펌 국제법 상담 받고 싶어요,정보,쉬움,동래,KO,8,"동래, 법무분야, 지역"
38,가족법 사건으로 동래 법률사무소 방문 예약하고 싶어요,탐색,쉬움,동래,KO,7,"동래, 법무분야"
39,건설인프라 관련 동래 법률사무소 상담 가능한가요?,거래,쉬움,동래,KO,6,"동래, 법무분야"
40,동래 법률사무소 개인정보 변호사 경력이 궁금해요,거래,쉬움,동래,KO,6,"동래, 법무분야"
41,부산 연제구에서 조세법무 전문 변호사 찾고 있어요,탐색,쉬움,동래,KO,7,"법무분야, 지역"
42,부동산법무 관련 동래 법률사무소 상담 가능한가요?,거래,쉬움,동래,KO,6,"동래, 법무분야"
43,금융법무 초기 대응 동래 법률사무소 도움받고 싶어요,거래,쉬움,동래,KO,7,"동래, 법무분야"
44,부동산법무 초기 대응 동래 법률사무소 도움받고 싶어요,탐색,쉬움,동래,KO,7,"동래, 법무분야"
45,남포동 거주자인데 동래 로펌 건설인프라 상담 받고 싶어요,탐색,쉬움,동래,KO,8,"동래, 법무분야, 지역"
46,부산 증권법 전문 동래 로펌 평판은 어떤가요?,탐색,쉬움,동래,KO,7,"동래, 법무분야, 지역"
47,동래 법률사무소 국제법 변호사 경력이 궁금해요,정보,쉬움,동래,KO,6,"동래, 법무분야"
48,부산지방법원 헌법 소송 동래 로펌 도움받을 수 있나요?,탐색,쉬움,동래,KO,8,"동래, 법무분야, 지역"
49,지적재산권 관련 동래 법률사무소 상담 가능한가요?,거래,쉬움,동래,KO,6,"동래, 법무분야"
50,동래 법률사무소 기업법무 관련 무료상담 있나요?,탐색,쉬움,동래,KO,6,"동래, 법무분야"
51,부산 회생법 전문 동래 로펌 평판은 어떤가요?,거래,쉬움,동래,KO,7,"동래, 법무분야, 지역"
52,부산지방법원 금융법무 소송 동래 로펌 도움받을 수 있나요?,거래,쉬움,동래,KO,8,"동래, 법무분야, 지역"
53,동래 법률사무소 개인정보 관련 무료상담 있나요?,거래,쉬움,동래,KO,6,"동래, 법무분야"
54,서면 거주자인데 동래 로펌 기업법무 상담 받고 싶어요,정보,쉬움,동래,KO,8,"동래, 법무분야, 지역"
55,국제법 관련 동래 법률사무소 상담 가능한가요?,거래,쉬움,동래,KO,6,"동래, 법무분야"
56,부산 건설인프라 전문 동래 로펌 평판은 어떤가요?,정보,쉬움,동래,KO,7,"동래, 법무분야, 지역"
57,부산 계약법무 전문 동래 로펌 평판은 어떤가요?,거래,쉬움,동래,KO,7,"동래, 법무분야, 지역"
