prompt,query,sample_id,template_used,어절수,고유단어수,URL포함,상품속성포함,extracted_keywords_practice_area,extracted_keywords_region,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_region,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,brand_info_name,brand_info_description,brand_info_website,brand_info_slogan,brand_info_concept,brand_info_target,brand_info_specialties,brand_info_products,brand_info_features
실용적인 고품질 혁신적인 전문적인 독특한 iOVU 밈컬렉션 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://github.com/iovu-official 참고하세요,실용적인 고품질 혁신적인 전문적인 독특한 iOVU 밈컬렉션 컨셉이 무엇인지 설명해주세요 더 자세한 정보는 https://github.com/iovu-official 참고하세요,iovu_optimized_v3_0001,iOVU {meme} 컨셉이 무엇인지 설명해주세요,15,17,True,False,밈컬렉션 착용감,일본,내구성프린팅,정보,쉬움,밈컬렉션 착용감,내구성프린팅,일본,최근 3개월,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Debug & Chill,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
현대적인 독특한 창의적인 전문적인 iOVU Developer Fashion 슬로건의 의미가 뭐에요? 더 자세한 정보는 https://github.com/iovu-official 참고하세요,현대적인 독특한 창의적인 전문적인 iOVU Developer Fashion 슬로건의 의미가 뭐에요? 더 자세한 정보는 https://github.com/iovu-official 참고하세요,iovu_optimized_v3_0002,iOVU {slogan} 슬로건의 의미가 뭐에요?,15,17,True,False,개발자정체성 컬러,베트남,디지털프린팅,정보,쉬움,개발자정체성 컬러,디지털프린팅,베트남,최근 3개월,디스코드,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Developer Fashion,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
독특한 전문적인 실용적인 소재 다중색으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://discord.gg/iovu 참고하세요,독특한 전문적인 실용적인 소재 다중색으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://discord.gg/iovu 참고하세요,iovu_optimized_v3_0003,{core_attr} {printing}으로 제작된 iOVU 제품 정보 알려주세요,15,16,True,False,코딩유머 소재,싱가포르,다중색,정보,쉬움,코딩유머 소재,다중색,싱가포르,최근 1년,GitHub,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,IN OUR VIVID UNIVERSE,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
트렌디한 창의적인 세련된 컬러 Sublimation으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://iovu-shop.vercel.app/collections 참고하세요,트렌디한 창의적인 세련된 컬러 Sublimation으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://iovu-shop.vercel.app/collections 참고하세요,iovu_optimized_v3_0004,{core_attr} {printing}으로 제작된 iOVU 제품 정보 알려주세요,15,18,True,False,긱문화 컬러,미국,Sublimation,정보,쉬움,긱문화 컬러,Sublimation,미국,최근 3개월,iOVU 공식몰,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Coding with Style,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
현대적인 독특한 창의적인 iOVU 밈도 입는 시대 슬로건의 의미가 뭐에요? 더 자세한 정보는 https://iovu-shop.vercel.app/collections 참고하세요,현대적인 독특한 창의적인 iOVU 밈도 입는 시대 슬로건의 의미가 뭐에요? 더 자세한 정보는 https://iovu-shop.vercel.app/collections 참고하세요,iovu_optimized_v3_0005,iOVU {slogan} 슬로건의 의미가 뭐에요?,15,18,True,False,프로그래밍문화 디자인,프랑스,DTG,정보,쉬움,프로그래밍문화 디자인,DTG,프랑스,최근 3개월,디스코드,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,밈도 입는 시대,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
전문적인 세련된 트렌디한 고품질 창의적인 품질에 적용된 열전사 기술이 뭔가요? 더 자세한 정보는 https://github.com/iovu-official 참고하세요,전문적인 세련된 트렌디한 고품질 창의적인 품질에 적용된 열전사 기술이 뭔가요? 더 자세한 정보는 https://github.com/iovu-official 참고하세요,iovu_optimized_v3_0006,{core_attr}에 적용된 {printing} 기술이 뭔가요?,15,18,True,False,코딩스타일 품질,싱가포르,열전사,정보,쉬움,코딩스타일 품질,열전사,싱가포르,최근 1년,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,코드를 입다,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
고품질 독특한 실용적인 매력적인 iOVU Debug & Chill 슬로건의 의미가 뭐에요? 더 자세한 정보는 https://github.com/iovu-official 참고하세요,고품질 독특한 실용적인 매력적인 iOVU Debug & Chill 슬로건의 의미가 뭐에요? 더 자세한 정보는 https://github.com/iovu-official 참고하세요,iovu_optimized_v3_0007,iOVU {slogan} 슬로건의 의미가 뭐에요?,16,17,True,False,코딩라이프 사이즈,일본,고품질프린팅,정보,쉬움,코딩라이프 사이즈,고품질프린팅,일본,최근 1년,iOVU 공식몰,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Debug & Chill,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
실용적인 트렌디한 창의적인 세련된 전문적인 디자인에 적용된 열전사 기술이 뭔가요? 더 자세한 정보는 https://iovu-shop.vercel.app/ 참고하세요,실용적인 트렌디한 창의적인 세련된 전문적인 디자인에 적용된 열전사 기술이 뭔가요? 더 자세한 정보는 https://iovu-shop.vercel.app/ 참고하세요,iovu_optimized_v3_0008,{core_attr}에 적용된 {printing} 기술이 뭔가요?,15,18,True,False,코딩스타일 디자인,캐나다,열전사,정보,쉬움,코딩스타일 디자인,열전사,캐나다,최근 1년,디스코드,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Dev + Cute = iOVU,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
매력적인 전문적인 혁신적인 컬러 DTG으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://instagram.com/iovu_official 참고하세요,매력적인 전문적인 혁신적인 컬러 DTG으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://instagram.com/iovu_official 참고하세요,iovu_optimized_v3_0009,{core_attr} {printing}으로 제작된 iOVU 제품 정보 알려주세요,15,17,True,False,코딩라이프 컬러,프랑스,DTG,정보,쉬움,코딩라이프 컬러,DTG,프랑스,최근 3개월,디스코드,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,Developer Fashion,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
독특한 매력적인 세련된 품질 고품질프린팅으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://github.com/iovu-official 참고하세요,독특한 매력적인 세련된 품질 고품질프린팅으로 제작된 iOVU 제품 정보 알려주세요 더 자세한 정보는 https://github.com/iovu-official 참고하세요,iovu_optimized_v3_0010,{core_attr} {printing}으로 제작된 iOVU 제품 정보 알려주세요,15,17,True,False,코딩라이프 품질,캐나다,고품질프린팅,정보,쉬움,코딩라이프 품질,고품질프린팅,캐나다,최근 3개월,iOVU 공식몰,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,IN OUR VIVID UNIVERSE,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
