원본_행,질문,추출된_의도,추출된_난이도,추출된_버킷타입,검수_점수,검수_통과,검수_사유,원본_의도,원본_난이도
2,동래 법률사무소 개인정보 서비스 전문성가 궁금해요,정보,쉬움,branded,0.75,통과,"The question mentions the brand '동래', is clear, and is within the appropriate length, but lacks specific legal concepts or practice areas.",정보,쉬움
3,동래 법률사무소 계약법무 서비스 전문성가 궁금해요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
5,동래 로펌 건설인프라 분야 검증된 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
7,동래 로펌 소송분쟁해결 분야 신뢰할 수 있는 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
11,동래 법률사무소 부동산법무 전문성 상담받고 싶어요,정보,쉬움,branded,0.9,통과,"Good legal question with proper brand mention, relevant legal context, and clear language.",정보,쉬움
13,동래 로펌 형사법무 분야 전문가 그룹 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
15,동래 법률사무소 소송분쟁해결 전문성 상담받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
16,동래 로펌 노동법무 분야 원스톱 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
18,동래 로펌 의료헬스케어 분야 전문 노하우 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
19,동래 로펌 계약법무 분야 지역밀착 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
20,동래 법률사무소 건설인프라 전문성 상담받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
22,동래 법률사무소 건설인프라 분야 부산 대표 로펌 기반 최근 성과 제공해주세요,정보,보통,branded,0.9,통과,"Well-structured question with brand mention, legal relevance, and regional context.",정보,보통
23,기업설립 트렌드에 따른 동래 로펌 기업법무 서비스 전문성 변화,정보,보통,branded,0.9,통과,"Well-structured question with brand mention, legal relevance, and clarity.",정보,보통
24,기업설립 트렌드에 따른 동래 로펌 환경 서비스 전문성 변화,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통
25,동래 법률사무소 기업법무 분야 지역밀착 기반 실무 경험 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통
26,동래 법률사무소 계약법무 분야 전문 노하우 기반 실무 경험 제공해주세요,정보,보통,branded,0.85,통과,Good legal question with proper brand mention,정보,보통
27,판례 관련 거제동 계약법무 사건에서 동래 로펌 실적은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention,정보,보통
