번호,질문,의도,난이도,도메인,언어,어절수,키워드_포함
1,동래 법률사무소의 주요 기업법무 서비스가 무엇인가요?,정보,쉬움,동래,KO,6,"동래, 법무분야"
2,부산 동래 로펌의 30년 업력 동안 주요 성과는?,정보,쉬움,동래,KO,8,"동래, 지역, USP"
3,동래 법률사무소 부동산법무팀 전문 분야를 알려주세요,정보,쉬움,동래,KO,6,"동래, 법무분야"
4,부산지방법원 관할 지역에서 동래 로펌의 위치는?,정보,쉬움,동래,KO,6,"동래, 지역"
5,동래 법률사무소의 합리적 수임료 체계 특징은?,정보,쉬움,동래,KO,6,"동래, USP"
6,부산 동래 로펌의 지적재산권 전문 변호사진 구성은?,정보,쉬움,동래,KO,7,"동래, 법무분야, 지역"
7,동래 법률사무소 노동법무 상담 가능한 사건 유형은?,정보,쉬움,동래,KO,7,"동래, 법무분야"
8,부산 해운대 지역 상가임대차 분쟁 동래 로펌 해결사례는?,정보,쉬움,동래,KO,8,"동래, 지역"
9,동래 법률사무소의 형사법무 변호 전문성은 어떤가요?,정보,쉬움,동래,KO,6,"동래, 법무분야"
10,부산 동래 로펌 조세법무 자문 서비스 범위는?,정보,쉬움,동래,KO,7,"동래, 법무분야, 지역"
11,동래 법률사무소 개인정보보호법 컨설팅 내용은?,정보,쉬움,동래,KO,5,"동래, 법무분야"
12,부산지방법원 IT통신 관련 소송에서 동래 로펌 실적은?,정보,쉬움,동래,KO,7,"동래, 법무분야, 지역"
13,동래 법률사무소의 환경법 전문 변호사 경력은?,정보,쉬움,동래,KO,6,동래
14,부산 의료헬스케어 분쟁 동래 로펌 대응 전략은?,정보,쉬움,동래,KO,7,"동래, 지역"
15,동래 법률사무소 건설인프라 프로젝트 법무지원 사례는?,정보,쉬움,동래,KO,6,동래
16,부산지방법원 관할 M&A 거래에서 동래 로펌의 원스톱 서비스 장점을 구체적으로 설명해주세요,정보,보통,동래,KO,11,"동래, 지역, USP"
17,동래 법률사무소가 처리한 부산 지역 집단소송 사건의 승소율과 주요 전략은?,정보,보통,동래,KO,10,"동래, 법무분야, 지역"
18,Busan Legal First-Mover로서 동래 로펌의 국제중재 역량과 최근 3년간 성과는?,정보,보통,동래,KO,10,"동래, USP"
19,부산 경남 지역 IPO 준비기업 대상 동래 법률사무소의 기업지배구조 자문 프로세스는?,정보,보통,동래,KO,11,"동래, 지역"
20,동래 로펌의 라이선스계약 검토 서비스가 타 부산 법무법인 대비 차별화되는 점은?,정보,보통,동래,KO,11,"동래, 지역"
21,부산지방법원 상표권 침해 소송에서 동래 법률사무소의 승소 전략과 판례 활용법은?,정보,보통,동래,KO,10,"동래, 법무분야, 지역"
22,동래 로펌이 제공하는 부산 지역 스타트업 대상 법무패키지의 구체적 내용은?,정보,보통,동래,KO,10,"동래, 지역"
23,부산 해운대 지역 부동산 개발사업 관련 동래 법률사무소의 인허가 대행 서비스는?,정보,보통,동래,KO,11,"동래, 지역"
24,동래 로펌의 30년 업력을 바탕으로 한 부산 지역 노사분쟁 조정 성공사례는?,정보,보통,동래,KO,11,"동래, 지역, USP"
