prompt,query,sample_id,template_used,extracted_keywords_practice_area,extracted_keywords_region,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_region,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,brand_info_name,brand_info_english_name,brand_info_website,brand_info_location,brand_info_phone,brand_info_established,brand_info_experience,brand_info_specialties,brand_info_slogan,brand_info_target_regions
부산 형사법무 관련 시간당비용 정보를 알려주세요,부산에서 교통사고 변호사를 찾고 있어요,clean_prompt_0001,부산 형사법무 관련 시간당비용 정보를 알려주세요,,부산,,정보조회,보통,형사법무,시간당비용,부산,최근5년,법무부통계,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 환경법무 관련 고객대응품질 정보를 알려주세요,부산에서 교통사고 변호사를 찾고 있어요 도움주세요,clean_prompt_0002,부산 환경법무 관련 고객대응품질 정보를 알려주세요,,부산,,거래상담,보통,환경법무,고객대응품질,부산,10년추세,부산지법,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 의료헬스케어법무 관련 변호사인원 정보를 알려주세요,부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요,clean_prompt_0003,부산 의료헬스케어법무 관련 변호사인원 정보를 알려주세요,,부산,,거래상담,보통,의료헬스케어법무,변호사인원,부산,2019-2023년,부산법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 소송및분쟁해결 관련 전문성 정보를 알려주세요,부산에서 교통사고 변호사를 찾고 있어요 문의드려요,clean_prompt_0004,부산 소송및분쟁해결 관련 전문성 정보를 알려주세요,,부산,,거래상담,보통,소송및분쟁해결,전문성,부산,10년추세,부산변협,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 환경법무 관련 총비용 정보를 알려주세요,부산에서 교통사고 변호사를 찾고 있어요 알려주세요,clean_prompt_0005,부산 환경법무 관련 총비용 정보를 알려주세요,,부산,,정보조회,보통,환경법무,총비용,부산,2019-2023년,법률신문,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 IT통신법무 관련 변호사인원 정보를 알려주세요,급하게 부산에서 교통사고 변호사를 찾고 있어요,clean_prompt_0006,부산 IT통신법무 관련 변호사인원 정보를 알려주세요,,부산,,정보조회,보통,IT통신법무,변호사인원,부산,2019-2023년,부산법원,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 소송및분쟁해결 관련 착수금 정보를 알려주세요,급하게 부산에서 교통사고 변호사를 찾고 있어요 도움주세요,clean_prompt_0007,부산 소송및분쟁해결 관련 착수금 정보를 알려주세요,,부산,,거래상담,보통,소송및분쟁해결,착수금,부산,최근3년,법무부통계,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 의료헬스케어법무 관련 해결율 정보를 알려주세요,급하게 부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요,clean_prompt_0008,부산 의료헬스케어법무 관련 해결율 정보를 알려주세요,,부산,,거래상담,보통,의료헬스케어법무,해결율,부산,2024년,법률신문,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 금융법무 관련 고객대응품질 정보를 알려주세요,급하게 부산에서 교통사고 변호사를 찾고 있어요 문의드려요,clean_prompt_0009,부산 금융법무 관련 고객대응품질 정보를 알려주세요,,부산,,거래상담,보통,금융법무,고객대응품질,부산,팬데믹이후,KISDI,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 의료헬스케어법무 관련 해결율 정보를 알려주세요,급하게 부산에서 교통사고 변호사를 찾고 있어요 알려주세요,clean_prompt_0010,부산 의료헬스케어법무 관련 해결율 정보를 알려주세요,,부산,,정보조회,보통,의료헬스케어법무,해결율,부산,최근5년,대한변협,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 계약법무 관련 총비용 정보를 알려주세요,전문적으로 부산에서 교통사고 변호사를 찾고 있어요,clean_prompt_0011,부산 계약법무 관련 총비용 정보를 알려주세요,,부산,,정보조회,보통,계약법무,총비용,부산,최근3년,대한변협,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 지적재산권 관련 사건처리속도 정보를 알려주세요,전문적으로 부산에서 교통사고 변호사를 찾고 있어요 도움주세요,clean_prompt_0012,부산 지적재산권 관련 사건처리속도 정보를 알려주세요,,부산,,거래상담,보통,지적재산권,사건처리속도,부산,2024년,법률신문,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 금융법무 관련 시장점유율 정보를 알려주세요,전문적으로 부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요,clean_prompt_0013,부산 금융법무 관련 시장점유율 정보를 알려주세요,,부산,,거래상담,보통,금융법무,시장점유율,부산,최근3년,부산법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 기업법무 관련 시간당비용 정보를 알려주세요,전문적으로 부산에서 교통사고 변호사를 찾고 있어요 문의드려요,clean_prompt_0014,부산 기업법무 관련 시간당비용 정보를 알려주세요,,부산,,거래상담,보통,기업법무,시간당비용,부산,10년추세,부산변협,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 소송및분쟁해결 관련 성공보수 정보를 알려주세요,전문적으로 부산에서 교통사고 변호사를 찾고 있어요 알려주세요,clean_prompt_0015,부산 소송및분쟁해결 관련 성공보수 정보를 알려주세요,,부산,,정보조회,보통,소송및분쟁해결,성공보수,부산,팬데믹이후,법률신문,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
