prompt,query,sample_id,template_used,extracted_keywords_practice_area,extracted_keywords_region,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_region,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,brand_info_name,brand_info_description,brand_info_website,brand_info_slogan,brand_info_concept,brand_info_target,brand_info_specialties,brand_info_products,brand_info_features
부산에서 너디 패션 브랜드를 배송 속도 기준으로 비교해주세요,부산에서 합리적으로 테크 패션 트렌드 알고 싶어요 추천해주세요,iovu_prompt_0001,부산에서 너디 패션 브랜드를 배송 속도 기준으로 비교해주세요,너디 패션,부산,,탐색비교,보통,너디 패션,배송 속도,부산,최근 3개월,인스타그램,KO 0.8 : EN 0.2,탐색비교,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
미국 프로그래머 라이프스타일 시장에서 배송 속도 기준 상위 브랜드들을 소개해주세요,미국에서 고품질로 프로그래머 라이프스타일 제품 문의 추천해주세요,iovu_prompt_0002,미국 프로그래머 라이프스타일 시장에서 배송 속도 기준 상위 브랜드들을 소개해주세요,프로그래머 라이프스타일,미국,,탐색비교,보통,프로그래머 라이프스타일,배송 속도,미국,2025년,스택오버플로우,KO 0.8 : EN 0.2,탐색비교,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
iOVU 개발자 밈 굿즈 제품 재고 관리 비교해서 구매 추천해주세요,일본에서 급하게 깃허브 문화 굿즈 주문하고 싶어요 도움주세요,iovu_prompt_0003,iOVU 개발자 밈 굿즈 제품 재고 관리 비교해서 구매 추천해주세요,개발자 밈 굿즈,일본,,거래상담,보통,개발자 밈 굿즈,재고 관리,일본,최근 1년,유튜브,KO 0.8 : EN 0.2,거래상담,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
2019-2023년 개발자 밈 굿즈 트렌드를 반영한 브랜드 추천해주세요,미국에서 합리적으로 개발자 선물 추천해주세요 상담받고 싶어요,iovu_prompt_0004,2019-2023년 개발자 밈 굿즈 트렌드를 반영한 브랜드 추천해주세요,개발자 밈 굿즈,미국,,탐색비교,보통,개발자 밈 굿즈,배송비,미국,2019-2023년,인스타그램,KO 0.8 : EN 0.2,탐색비교,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
트위터에서 추천하는 코딩 유머 아이템 제품 구매 전략을 알려주세요,미국에서 고품질로 스타트업 문화 아이템 커스터마이징 상담받고 싶어요,iovu_prompt_0005,트위터에서 추천하는 코딩 유머 아이템 제품 구매 전략을 알려주세요,코딩 유머 아이템,미국,,거래상담,보통,코딩 유머 아이템,브랜드 인지도,미국,2024년,트위터,KO 0.8 : EN 0.2,거래상담,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
개발자 밈 굿즈 브랜드들의 원단 퀄리티 특징을 2025년 기준으로 비교해주세요,부산에서 개발자 밈 굿즈 찾고 있어요 추천해주세요,iovu_prompt_0006,개발자 밈 굿즈 브랜드들의 원단 퀄리티 특징을 2025년 기준으로 비교해주세요,개발자 밈 굿즈,부산,,탐색비교,보통,개발자 밈 굿즈,원단 퀄리티,부산,2025년,IT 뉴스,KO 0.8 : EN 0.2,탐색비교,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
개발자 밈 굿즈 선택할 때 멤버십 혜택 기준으로 뭘 봐야 하나요?,한국에서 개발자 선물 추천해주세요,iovu_prompt_0007,개발자 밈 굿즈 선택할 때 멤버십 혜택 기준으로 뭘 봐야 하나요?,개발자 밈 굿즈,한국,,탐색비교,쉬움,개발자 밈 굿즈,멤버십 혜택,한국,최근 3개월,밈 사이트,KO 0.8 : EN 0.2,탐색비교,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
개발자 밈 굿즈 제품의 시장 점유율 기준과 부산 배송을 고려한 구매 가이드를 제공해주세요,부산에서 합리적으로 깃허브 문화 굿즈 주문하고 싶어요 도움주세요,iovu_prompt_0008,개발자 밈 굿즈 제품의 시장 점유율 기준과 부산 배송을 고려한 구매 가이드를 제공해주세요,개발자 밈 굿즈,부산,,거래상담,보통,개발자 밈 굿즈,시장 점유율,부산,올해,스택오버플로우,KO 0.8 : EN 0.2,거래상담,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
개발자 밈 굿즈 제품의 밈 트렌드 반영도 기준과 일본 배송을 고려한 구매 가이드를 제공해주세요,일본에서 합리적으로 깃허브 문화 굿즈 주문하고 싶어요 도움주세요,iovu_prompt_0009,개발자 밈 굿즈 제품의 밈 트렌드 반영도 기준과 일본 배송을 고려한 구매 가이드를 제공해주세요,개발자 밈 굿즈,일본,,거래상담,보통,개발자 밈 굿즈,밈 트렌드 반영도,일본,2025년,스택오버플로우,KO 0.8 : EN 0.2,거래상담,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
최근 3개월 기간 부산 개발자 밈 굿즈 상위 브랜드를 배송비 기준으로 정리해주세요,부산에서 합리적으로 개발자 정체성 표현 굿즈 추천 문의드려요,iovu_prompt_0010,최근 3개월 기간 부산 개발자 밈 굿즈 상위 브랜드를 배송비 기준으로 정리해주세요,개발자 밈 굿즈,부산,,탐색비교,보통,개발자 밈 굿즈,배송비,부산,최근 3개월,개발자 커뮤니티,KO 0.8 : EN 0.2,탐색비교,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
