원본_행,질문,추출된_의도,추출된_난이도,추출된_버킷타입,검수_점수,검수_통과,검수_사유,원본_의도,원본_난이도
11,부산 동래 로펌 조세법무 자문 서비스 범위는?,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear context, and relevant legal concepts.",정보,쉬움
13,부산지방법원 IT통신 관련 소송에서 동래 로펌 실적은?,정보,쉬움,branded,0.9,통과,"The question contains the brand '동래', is within the appropriate length, is legally relevant, mentions the regional context of Busan, and is clear in Korean.",정보,쉬움
2,동래 법률사무소의 주요 기업법무 서비스가 무엇인가요?,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear intent, and relevant legal context.",정보,쉬움
15,부산 의료헬스케어 분쟁 동래 로펌 대응 전략은?,정보,쉬움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and regional specificity.",정보,쉬움
7,부산 동래 로펌의 지적재산권 전문 변호사진 구성은?,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear language, and relevant regional context.",정보,쉬움
10,동래 법률사무소의 형사법무 변호 전문성은 어떤가요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
4,동래 법률사무소 부동산법무팀 전문 분야를 알려주세요,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear intent, and relevant legal context.",정보,쉬움
3,부산 동래 로펌의 30년 업력 동안 주요 성과는?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,쉬움
16,동래 법률사무소 건설인프라 프로젝트 법무지원 사례는?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
6,동래 법률사무소의 합리적 수임료 체계 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
9,부산 해운대 지역 상가임대차 분쟁 동래 로펌 해결사례는?,정보,쉬움,branded,0.9,통과,"The question includes the brand '동래', is within the appropriate length, mentions a legal dispute relevant to commercial lease issues, and has regional context related to Busan.",정보,쉬움
12,동래 법률사무소 개인정보보호법 컨설팅 내용은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,쉬움
14,동래 법률사무소의 환경법 전문 변호사 경력은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
5,부산지방법원 관할 지역에서 동래 로펌의 위치는?,정보,쉬움,branded,0.75,통과,"The question mentions the brand '동래' and is clear, but lacks direct legal relevance.",정보,쉬움
8,동래 법률사무소 노동법무 상담 가능한 사건 유형은?,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear intent, and relevant legal context.",정보,쉬움
26,부산지방법원 조세불복 사건에서 동래 법률사무소의 대응 방식과 승소 포인트는?,정보,보통,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and regional specificity.",정보,보통
28,부산 경남 건설업체 대상 동래 법률사무소의 건설분쟁 해결 프로세스는?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,보통
17,부산지방법원 관할 M&A 거래에서 동래 로펌의 원스톱 서비스 장점을 구체적으로 설명해주세요,정보,보통,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and regional specificity.",정보,보통
30,부산지방법원 환경소송에서 동래 법률사무소의 전문성과 대응 전략은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통
22,부산지방법원 상표권 침해 소송에서 동래 법률사무소의 승소 전략과 판례 활용법은?,정보,보통,branded,1.0,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and regional context.",정보,보통
25,동래 로펌의 30년 업력을 바탕으로 한 부산 지역 노사분쟁 조정 성공사례는?,정보,보통,branded,0.9,통과,"The question includes the brand '동래', is within the appropriate length, mentions a legal scenario (노사분쟁 조정), and has regional context (부산). It is also clear and natural in Korean.",정보,보통
19,Busan Legal First-Mover로서 동래 로펌의 국제중재 역량과 최근 3년간 성과는?,정보,보통,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and regional focus.",정보,보통
18,동래 법률사무소가 처리한 부산 지역 집단소송 사건의 승소율과 주요 전략은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통
31,동래 로펌이 부산 IT기업들에게 제공하는 데이터보호 법무자문의 특화된 접근법은?,정보,보통,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and regional specificity.",정보,보통
21,동래 로펌의 라이선스계약 검토 서비스가 타 부산 법무법인 대비 차별화되는 점은?,정보,보통,branded,1.0,통과,"Excellent legal question with proper brand mention, clear context, and relevant legal concepts.",정보,보통
24,부산 해운대 지역 부동산 개발사업 관련 동래 법률사무소의 인허가 대행 서비스는?,정보,보통,branded,0.9,통과,"Well-structured question with brand mention, legal relevance, and regional context.",정보,보통
27,동래 로펌이 부산 의료기관 대상으로 제공하는 의료분쟁 예방 법무서비스 내용은?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,보통
29,동래 로펌의 개인정보보호 컴플라이언스 구축 서비스가 부산 기업들에게 미치는 효과는?,정보,보통,branded,0.85,통과,Good legal question with proper brand mention and relevant regional context.,정보,보통
20,부산 경남 지역 IPO 준비기업 대상 동래 법률사무소의 기업지배구조 자문 프로세스는?,정보,보통,branded,0.95,통과,"Excellent legal question with proper brand mention, clear context, and relevant legal concepts.",정보,보통
23,동래 로펌이 제공하는 부산 지역 스타트업 대상 법무패키지의 구체적 내용은?,정보,보통,branded,0.9,통과,"The question contains the brand '동래', is within the appropriate length, is legally relevant, mentions the regional context of Busan, and is clear in Korean.",정보,보통
40,부산 경남 지역 ESG 경영 확산에 따른 동래 법률사무소의 신규 법무영역 진출 전략을 평가해주세요,정보,어려움,branded,0.95,통과,"Well-structured question with clear brand mention, legal relevance, and regional context.",정보,어려움
33,Busan Legal First-Mover로서 동래 로펌의 글로벌 M&A 역량이 한국 로펌 시장에서 갖는 경쟁우위를 분석해주세요,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and regional focus.",정보,어려움
37,동래 로펌의 합리적 수임료 정책이 부산 법무시장의 가격 경쟁력에 미치는 파급효과를 분석해주세요,정보,어려움,branded,1.0,통과,"Excellent legal question with proper brand mention, relevant legal context, and regional focus.",정보,어려움
32,동래 법률사무소의 원스톱 형사민사 연계 전략을 부산지방법원 판례 분석을 통해 평가해주세요,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and regional context.",정보,어려움
39,동래 로펌의 디지털 트랜스포메이션이 부산 지역 클라이언트 서비스 혁신에 미치는 영향을 분석해주세요,정보,어려움,branded,0.95,통과,"Well-structured question with brand mention, legal relevance, and regional context.",정보,어려움
34,부산 경남 지역 대기업 법무팀과 동래 법률사무소 간 협업 모델의 효율성과 ROI를 평가해주세요,정보,어려움,branded,0.9,통과,"The question includes a brand mention, is of appropriate length, discusses legal collaboration, and references the regional context of Busan.",정보,어려움
41,동래 로펌의 부산 기반 글로컬 법무서비스 모델이 국내 지방 로펌들에게 주는 시사점을 분석해주세요,정보,어려움,branded,0.95,통과,"The question includes the brand '동래', is within the appropriate length, discusses legal service models relevant to local law firms, and mentions the regional context of Busan, all while being clear and natural in Korean.",정보,어려움
36,부산 해운대 법조단지 내 동래 법률사무소의 포지셔닝과 향후 10년 성장 전략을 예측해주세요,정보,어려움,branded,0.95,통과,"Well-structured question with brand mention, legal relevance, and regional context.",정보,어려움
35,동래 로펌의 30년 업력 기반 부산지방법원 판사 네트워크가 소송 전략에 미치는 영향을 분석해주세요,정보,어려움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and regional specificity.",정보,어려움
38,부산지방법원 복합 소송에서 동래 법률사무소의 다분야 전문가 협업 시스템의 효과성을 평가해주세요,정보,어려움,branded,0.95,통과,"The question effectively mentions the brand '동래', is within the appropriate length, discusses a legal scenario relevant to multi-disciplinary collaboration, and includes regional context by referencing the Busan District Court.",정보,어려움
47,부산 동래 로펌 기업법무팀 소개 브로셔는 어디서 받나요?,탐색,쉬움,branded,0.75,통과,"The question mentions the brand '동래', is clear, and is within the appropriate length, but lacks specific legal relevance.",탐색,쉬움
