prompt,extracted_keywords_practice_area,extracted_keywords_country,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_country,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,template_used,brand_info_name,brand_info_description,brand_info_website,brand_info_slogan,brand_info_concept,brand_info_target,brand_info_specialties,brand_info_products,sample_id,query
팬데믹(2020-2022년) 힐링 개발템 트렌드를 반영한 브랜드 추천,힐링 개발템,,,탐색,보통,힐링 개발템,바이럴 지수,영국,팬데믹(2020-2022년),개발자 커뮤니티,KO 0.8 : EN 0.2,탐색,보통,팬데믹(2020-2022년) 힐링 개발템 트렌드를 반영한 브랜드 추천,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0001,고품질로 힐링 개발템 어디서 사나요 알려주세요
10년 추세(2015-2024년) 개발자 밈 굿즈 트렌드를 반영한 브랜드 추천,개발자 밈 굿즈,,,탐색,보통,개발자 밈 굿즈,할인율,캐나다,10년 추세(2015-2024년),깃허브 트렌드,KO 0.8 : EN 0.2,탐색,보통,10년 추세(2015-2024년) 개발자 밈 굿즈 트렌드를 반영한 브랜드 추천,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0002,개발자 밈 굿즈 찾고 있어요 브랜드 비교
팬데믹(2020-2022년) 기준 일본 개발자 밈 굿즈 할인율 평균 가격은?,개발자 밈 굿즈,일본,,거래,보통,개발자 밈 굿즈,할인율,일본,팬데믹(2020-2022년),개발자 커뮤니티,KO 0.8 : EN 0.2,거래,보통,팬데믹(2020-2022년) 기준 일본 개발자 밈 굿즈 할인율 평균 가격은?,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0003,일본에서 급하게 해커톤 굿즈 대량 구매 가능한가요 알려주세요
개발자 밈 굿즈 제품의 내구성 기준과 한국 배송을 고려한 구매 가이드,개발자 밈 굿즈,한국,,거래,보통,개발자 밈 굿즈,내구성,한국,2024년,깃허브 트렌드,KO 0.8 : EN 0.2,거래,보통,개발자 밈 굿즈 제품의 내구성 기준과 한국 배송을 고려한 구매 가이드,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0004,한국에서 급하게 깃허브 문화 굿즈 주문하고 싶어요 도움주세요
일본에서 코딩 유머 아이템 브랜드의 디자인 완성도와 개발자 커뮤니티 정보를 종합해서 설명해주세요,코딩 유머 아이템,,,정보,보통,코딩 유머 아이템,디자인 완성도,일본,2019-2023년,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,보통,일본에서 코딩 유머 아이템 브랜드의 디자인 완성도와 개발자 커뮤니티 정보를 종합해서 설명해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0005,급하게 코딩 유머 아이템 가격이 궁금해요
프랑스에서 코딩 유머 아이템 브랜드의 제품 가격와 개발자 커뮤니티 정보를 종합해서 설명해주세요,코딩 유머 아이템,,,정보,보통,코딩 유머 아이템,제품 가격,프랑스,2025년,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,보통,프랑스에서 코딩 유머 아이템 브랜드의 제품 가격와 개발자 커뮤니티 정보를 종합해서 설명해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0006,전문적으로 코딩 유머 아이템 가격이 궁금해요 알려주세요
일본에서 개발자 밈 굿즈 브랜드를 개발자 커뮤니티 반응 기준으로 비교해주세요,개발자 밈 굿즈,일본,,탐색,보통,개발자 밈 굿즈,개발자 커뮤니티 반응,일본,최근 3개월,개발자 커뮤니티,KO 0.8 : EN 0.2,탐색,보통,일본에서 개발자 밈 굿즈 브랜드를 개발자 커뮤니티 반응 기준으로 비교해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0007,일본에서 전문적으로 개발자 정체성 표현 굿즈 추천 문의드려요
프랑스에서 너디 패션 브랜드를 프린팅 품질 기준으로 비교해주세요,너디 패션,,,탐색,보통,너디 패션,프린팅 품질,프랑스,10년 추세(2015-2024년),밈 사이트,KO 0.8 : EN 0.2,탐색,보통,프랑스에서 너디 패션 브랜드를 프린팅 품질 기준으로 비교해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0008,급하게 너디 패션 브랜드 추천해주세요
팬데믹(2020-2022년) 기간 호주 개발자 밈 굿즈 상위 브랜드를 원단 퀄리티 기준으로 정리해주세요,개발자 밈 굿즈,,,탐색,보통,개발자 밈 굿즈,원단 퀄리티,호주,팬데믹(2020-2022년),깃허브 트렌드,KO 0.8 : EN 0.2,탐색,보통,팬데믹(2020-2022년) 기간 호주 개발자 밈 굿즈 상위 브랜드를 원단 퀄리티 기준으로 정리해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0009,개발자 선물 추천해주세요 브랜드 비교
한국에서 너디 패션 브랜드를 개발자 커뮤니티 반응 기준으로 비교해주세요,너디 패션,한국,,탐색,보통,너디 패션,개발자 커뮤니티 반응,한국,2025년,깃허브 트렌드,KO 0.8 : EN 0.2,탐색,보통,한국에서 너디 패션 브랜드를 개발자 커뮤니티 반응 기준으로 비교해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0010,한국에서 전문적으로 너디 패션 브랜드 추천해주세요 알려주세요
