원본_행,질문,추출된_의도,추출된_난이도,추출된_버킷타입,검수_점수,검수_통과,검수_사유,원본_의도,원본_난이도,검수_점수_원본
79,부산지방법원 가족법 소송 동래 로펌 도움받을 수 있나요?,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear language, and relevant regional context.",정보,쉬움,1.0
4,동래 법률사무소 부동산법무팀 전문 분야를 알려주세요,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear intent, and relevant legal context.",정보,쉬움,1.0
14,회생법 사건으로 동래 법률사무소 방문 예약하고 싶어요,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear intent, and relevant legal context.",정보,쉬움,1.0
8,동래 법률사무소 노동법무 상담 가능한 사건 유형은?,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear intent, and relevant legal context.",정보,쉬움,1.0
11,부산 동래 로펌 조세법무 자문 서비스 범위는?,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear context, and relevant legal concepts.",정보,쉬움,1.0
2,동래 법률사무소의 주요 기업법무 서비스가 무엇인가요?,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear intent, and relevant legal context.",정보,쉬움,1.0
7,부산 동래 로펌의 지적재산권 전문 변호사진 구성은?,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear language, and relevant regional context.",정보,쉬움,1.0
97,부산지방법원 부동산법무 소송 동래 로펌 도움받을 수 있나요?,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear language, and relevant regional context.",정보,쉬움,1.0
69,회생법 관련 동래 법률사무소 상담 가능한가요?,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear language, and relevant legal context.",정보,쉬움,1.0
227,부산해운대 개인정보보호 분야 법무법인 동래의 성공보수 상담 서비스가 어떻게 되나요,정보,쉬움,branded,0.95,통과,"Excellent legal question with proper brand mention, clear context, and relevant legal concepts.",정보조회,쉬움,0.95
15,부산 의료헬스케어 분쟁 동래 로펌 대응 전략은?,정보,쉬움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and regional specificity.",정보,쉬움,0.95
66,노동법무 사건으로 동래 법률사무소 방문 예약하고 싶어요,정보,쉬움,branded,0.95,통과,Clear and relevant legal question with proper brand mention and intent to schedule a visit.,정보,쉬움,0.95
17,부산지방법원 계약법무 소송 동래 로펌 도움받을 수 있나요?,정보,쉬움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and clear language.",정보,쉬움,0.95
11,동래 법률사무소 부동산법무 전문성 상담받고 싶어요,정보,쉬움,branded,0.9,통과,"Good legal question with proper brand mention, relevant legal context, and clear language.",정보,쉬움,0.9
13,부산지방법원 IT통신 관련 소송에서 동래 로펌 실적은?,정보,쉬움,branded,0.9,통과,"The question contains the brand '동래', is within the appropriate length, is legally relevant, mentions the regional context of Busan, and is clear in Korean.",정보,쉬움,0.9
9,부산 해운대 지역 상가임대차 분쟁 동래 로펌 해결사례는?,정보,쉬움,branded,0.9,통과,"The question includes the brand '동래', is within the appropriate length, mentions a legal dispute relevant to commercial lease issues, and has regional context related to Busan.",정보,쉬움,0.9
55,서면 거주자인데 동래 로펌 기업법무 상담 받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
93,개인정보 초기 대응 동래 법률사무소 도움받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
77,김해 소송및분쟁해결 분야 법무법인 동래의 시장점유율 상담 서비스가 어떻게 되나요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보조회,쉬움,0.85
78,의료헬스케어 초기 대응 동래 법률사무소 도움받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
70,기업법무 사건으로 동래 법률사무소 방문 예약하고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
38,서면 거주자인데 동래 로펌 국제법 상담 받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
75,부산지방법원 형사법무 소송 동래 로펌 도움받을 수 있나요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and relevant regional context.,정보,쉬움,0.85
57,부산 건설인프라 전문 동래 로펌 평판은 어떤가요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and regional context.,정보,쉬움,0.85
60,동래 법률사무소 조세법무 관련 무료상담 있나요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
3,동래 법률사무소 계약법무 서비스 전문성가 궁금해요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
5,동래 로펌 건설인프라 분야 검증된 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
7,동래 로펌 소송분쟁해결 분야 신뢰할 수 있는 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
13,동래 로펌 형사법무 분야 전문가 그룹 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
15,동래 법률사무소 소송분쟁해결 전문성 상담받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
16,동래 로펌 노동법무 분야 원스톱 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
18,동래 로펌 의료헬스케어 분야 전문 노하우 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
19,동래 로펌 계약법무 분야 지역밀착 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
794,김해 건설인프라법무 분야 법무법인 동래의 착수금 상담 서비스가 어떻게 되나요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보조회,쉬움,0.85
8,조세법무 관련 동래 법률사무소 상담 가능한가요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
16,해운대 거주자인데 동래 로펌 국제법 상담 받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,쉬움,0.85
14,동래 법률사무소의 환경법 전문 변호사 경력은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
16,동래 법률사무소 건설인프라 프로젝트 법무지원 사례는?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
48,동래 법률사무소 국제법 변호사 경력이 궁금해요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
10,부산 환경 전문 동래 로펌 평판은 어떤가요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and regional context.,정보,쉬움,0.85
6,동래 법률사무소의 합리적 수임료 체계 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
34,동래 로펌 회생법 수임료는 어느 정도인가요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
77,IT통신 사건으로 동래 법률사무소 방문 예약하고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
68,국제법 사건으로 동래 법률사무소 방문 예약하고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
59,기업법무 초기 대응 동래 법률사무소 도움받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
12,동래 법률사무소 개인정보보호법 컨설팅 내용은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,쉬움,0.85
10,동래 법률사무소의 형사법무 변호 전문성은 어떤가요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
100,동래 법률사무소 회생법 변호사 경력이 궁금해요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
99,헌법 초기 대응 동래 법률사무소 도움받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
26,동래 법률사무소 계약법무 변호사 경력이 궁금해요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
3,부산 개인정보 전문 동래 로펌 평판은 어떤가요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and regional context.,정보,쉬움,0.85
15,국제법 초기 대응 동래 법률사무소 도움받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
187,부울경 형사법무 분야 법무법인 동래의 성공보수 상담 서비스가 어떻게 되나요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보조회,쉬움,0.85
3,부산 동래 로펌의 30년 업력 동안 주요 성과는?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,쉬움,0.85
61,부산 국제법 전문 동래 로펌 평판은 어떤가요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
20,동래 법률사무소 건설인프라 전문성 상담받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움,0.85
6,부산 부산에서 조세법무 전문 변호사 찾고 있어요,정보,쉬움,unbranded,0.75,통과,"The question is clear and relevant to legal services, but it does not mention the brand 'Dongrae' and lacks specific legal concepts.",정보,쉬움,0.75
2,동래 법률사무소 개인정보 서비스 전문성가 궁금해요,정보,쉬움,branded,0.75,통과,"The question mentions the brand '동래', is clear, and is within the appropriate length, but lacks specific legal concepts or practice areas.",정보,쉬움,0.75
4,부산 의료헬스케어 전문 동래 로펌 평판은 어떤가요?,정보,쉬움,branded,0.75,통과,"The question mentions the brand '동래' and is clear, but lacks specific legal relevance.",정보,쉬움,0.75
74,수영구 거주자인데 동래 로펌 개인정보 상담 받고 싶어요,정보,쉬움,branded,0.75,통과,"The question mentions the brand '동래' and is clear, but lacks specific legal concepts or scenarios.",정보,쉬움,0.75
11,부산 IT통신 전문 동래 로펌 평판은 어떤가요?,정보,쉬움,branded,0.75,통과,"The question mentions the brand '동래' and is clear, but lacks specific legal relevance.",정보,쉬움,0.75
88,연제구 거주자인데 동래 로펌 환경 상담 받고 싶어요,정보,쉬움,branded,0.75,통과,"The question mentions the brand '동래' and is clear, but lacks specific legal concepts or scenarios.",정보,쉬움,0.75
5,부산지방법원 관할 지역에서 동래 로펌의 위치는?,정보,쉬움,branded,0.75,통과,"The question mentions the brand '동래' and is clear, but lacks direct legal relevance.",정보,쉬움,0.75
64,동래 로펌 IT통신 수임료는 어느 정도인가요?,정보,쉬움,branded,0.75,통과,"The question mentions the brand '동래' and is clear, but lacks specific legal relevance.",정보,쉬움,0.75
12,동래 로펌 개인정보 수임료는 어느 정도인가요?,정보,쉬움,branded,0.75,통과,"The question mentions the brand '동래', is clear, and falls within the appropriate length, but lacks specific legal relevance.",정보,쉬움,0.75
21,동래 로펌의 라이선스계약 검토 서비스가 타 부산 법무법인 대비 차별화되는 점은?,정보,보통,branded,1.0,통과,"Excellent legal question with proper brand mention, clear context, and relevant legal concepts.",정보,보통,1.0
22,부산지방법원 상표권 침해 소송에서 동래 법률사무소의 승소 전략과 판례 활용법은?,정보,보통,branded,1.0,통과,"Excellent legal question with proper brand mention, relevant legal concepts, and regional context.",정보,보통,1.0
26,부산지방법원 조세불복 사건에서 동래 법률사무소의 대응 방식과 승소 포인트는?,정보,보통,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and regional specificity.",정보,보통,0.95
20,부산 경남 지역 IPO 준비기업 대상 동래 법률사무소의 기업지배구조 자문 프로세스는?,정보,보통,branded,0.95,통과,"Excellent legal question with proper brand mention, clear context, and relevant legal concepts.",정보,보통,0.95
31,동래 로펌이 부산 IT기업들에게 제공하는 데이터보호 법무자문의 특화된 접근법은?,정보,보통,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and regional specificity.",정보,보통,0.95
17,부산지방법원 관할 M&A 거래에서 동래 로펌의 원스톱 서비스 장점을 구체적으로 설명해주세요,정보,보통,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and regional specificity.",정보,보통,0.95
19,Busan Legal First-Mover로서 동래 로펌의 국제중재 역량과 최근 3년간 성과는?,정보,보통,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and regional focus.",정보,보통,0.95
24,부산 해운대 지역 부동산 개발사업 관련 동래 법률사무소의 인허가 대행 서비스는?,정보,보통,branded,0.9,통과,"Well-structured question with brand mention, legal relevance, and regional context.",정보,보통,0.9
56,법조단지 계약법무 시장에서 동래 로펌의 전문성 경쟁력은?,정보,보통,branded,0.9,통과,"Well-structured question with brand mention, legal relevance, and clear language.",정보,보통,0.9
22,동래 법률사무소 건설인프라 분야 부산 대표 로펌 기반 최근 성과 제공해주세요,정보,보통,branded,0.9,통과,"Well-structured question with brand mention, legal relevance, and regional context.",정보,보통,0.9
57,동래 법률사무소 조세법무 분야 원스톱 기반 배경 자세히 제공해주세요,정보,보통,branded,0.9,통과,"The question contains the brand '동래', is of appropriate length, mentions a legal practice area (조세법무), and is clear in Korean.",정보,보통,0.9
23,기업설립 트렌드에 따른 동래 로펌 기업법무 서비스 전문성 변화,정보,보통,branded,0.9,통과,"Well-structured question with brand mention, legal relevance, and clarity.",정보,보통,0.9
23,동래 로펌이 제공하는 부산 지역 스타트업 대상 법무패키지의 구체적 내용은?,정보,보통,branded,0.9,통과,"The question contains the brand '동래', is within the appropriate length, is legally relevant, mentions the regional context of Busan, and is clear in Korean.",정보,보통,0.9
25,동래 로펌의 30년 업력을 바탕으로 한 부산 지역 노사분쟁 조정 성공사례는?,정보,보통,branded,0.9,통과,"The question includes the brand '동래', is within the appropriate length, mentions a legal scenario (노사분쟁 조정), and has regional context (부산). It is also clear and natural in Korean.",정보,보통,0.9
