prompt,query,sample_id,template_used,extracted_keywords_practice_area,extracted_keywords_region,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_region,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,brand_info_name,brand_info_description,brand_info_website,brand_info_slogan,brand_info_concept,brand_info_target,brand_info_specialties,brand_info_products,brand_info_features
중국 지역 해커톤 노트 교환정책 현황 알려주세요,중국 지역 해커톤 노트 교환정책 현황 알려주세요,iovu_optimized_0001,{country} 지역 {tech_keyword} {product} {metric} 현황 알려주세요,해커톤 노트,중국,교환정책,정보,쉬움,해커톤 노트,교환정책,중국,올해,IT 뉴스,KO 0.8 : EN 0.2,정보,쉬움,,,,,,,,,
iOVU 배포 노트의 사이즈 정보가 필요해요,iOVU 배포 노트의 사이즈 정보가 필요해요,iovu_optimized_0002,iOVU {tech_keyword} {product}의 {metric} 정보가 필요해요,배포 노트,한국,사이즈,정보,쉬움,배포 노트,사이즈,한국,최근 1년,IT 뉴스,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
데브옵스 관련 iOVU 에코백 인기도가 궁금합니다,데브옵스 관련 iOVU 에코백 인기도가 궁금합니다,iovu_optimized_0003,{tech_keyword} 관련 {product} {metric}가 궁금합니다,데브옵스 에코백,싱가포르,인기도,정보,쉬움,데브옵스 에코백,인기도,싱가포르,올해,IT 뉴스,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
깃허브 관련 상품 내구성가 궁금합니다,깃허브 관련 상품 내구성가 궁금합니다,iovu_optimized_0004,{tech_keyword} 관련 {product} {metric}가 궁금합니다,깃허브 상품,독일,내구성,정보,쉬움,깃허브 상품,내구성,독일,최근 3개월,개발자 포럼,KO 0.8 : EN 0.2,정보,쉬움,,,,,,,,,
백엔드 관련 iOVU 뱃지 배송기간가 궁금합니다,백엔드 관련 iOVU 뱃지 배송기간가 궁금합니다,iovu_optimized_0005,{tech_keyword} 관련 {product} {metric}가 궁금합니다,백엔드 뱃지,중국,배송기간,정보,쉬움,백엔드 뱃지,배송기간,중국,올해,쇼핑몰 리뷰,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
iOVU 너드 뱃지의 인기도 정보가 필요해요,iOVU 너드 뱃지의 인기도 정보가 필요해요,iovu_optimized_0006,iOVU {tech_keyword} {product}의 {metric} 정보가 필요해요,너드 뱃지,싱가포르,인기도,정보,쉬움,너드 뱃지,인기도,싱가포르,최근 1년,쇼핑몰 리뷰,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
버그 개발자를 위한 머그컵 인기도 정보 필요합니다,버그 개발자를 위한 머그컵 인기도 정보 필요합니다,iovu_optimized_0007,{tech_keyword} 개발자를 위한 {product} {metric} 정보 필요합니다,버그 머그컵,베트남,인기도,정보,쉬움,버그 머그컵,인기도,베트남,최근 3개월,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,쉬움,,,,,,,,,
테크 펜의 만족도 정보가 필요해요,테크 펜의 만족도 정보가 필요해요,iovu_optimized_0008,iOVU {tech_keyword} {product}의 {metric} 정보가 필요해요,테크 펜,태국,만족도,정보,쉬움,테크 펜,만족도,태국,최근 3개월,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,쉬움,,,,,,,,,
iOVU에서 판매하는 버그 마우스패드 배송기간 알려주세요,iOVU에서 판매하는 버그 마우스패드 배송기간 알려주세요,iovu_optimized_0009,iOVU에서 판매하는 {tech_keyword} {product} {metric} 알려주세요,버그 마우스패드,프랑스,배송기간,정보,쉬움,버그 마우스패드,배송기간,프랑스,최근 3개월,쇼핑몰 리뷰,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
미국 지역 리팩토링 iOVU 키링 평점 현황 알려주세요,미국 지역 리팩토링 iOVU 키링 평점 현황 알려주세요,iovu_optimized_0010,{country} 지역 {tech_keyword} {product} {metric} 현황 알려주세요,리팩토링 키링,미국,평점,정보,쉬움,리팩토링 키링,평점,미국,올해,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
