prompt,extracted_keywords_practice_area,extracted_keywords_country,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_country,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,template_used,brand_info_name,brand_info_description,brand_info_website,brand_info_slogan,brand_info_concept,brand_info_target,brand_info_specialties,brand_info_products,sample_id,query
(10년 추세(2015-2024년)) 기간 (미국) (힐링 개발템) 상위 브랜드를 (밈 트렌드 반영도) 기준으로 정리해주세요,힐링 개발템,미국,,탐색,보통,힐링 개발템,밈 트렌드 반영도,미국,10년 추세(2015-2024년),개발자 커뮤니티,KO 0.8 : EN 0.2,탐색,보통,(10년 추세(2015-2024년)) 기간 (미국) (힐링 개발템) 상위 브랜드를 (밈 트렌드 반영도) 기준으로 정리해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0001,미국에서 트렌디하게 힐링 개발템 어디서 사나요 알려주세요
(개발자 커뮤니티)에서 화제가 된 (개발자 밈 굿즈)의 (원단 퀄리티) 트렌드는?,개발자 밈 굿즈,한국,,정보,보통,개발자 밈 굿즈,원단 퀄리티,한국,2019-2023년,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,보통,(개발자 커뮤니티)에서 화제가 된 (개발자 밈 굿즈)의 (원단 퀄리티) 트렌드는?,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0002,한국에서 트렌디하게 개발자 밈 굿즈 찾고 있어요 알려주세요
(밈 사이트)에서 화제가 된 (코딩 유머 아이템)의 (제품 가격) 트렌드는?,코딩 유머 아이템,일본,,정보,보통,코딩 유머 아이템,제품 가격,일본,10년 추세(2015-2024년),밈 사이트,KO 0.8 : EN 0.2,정보,보통,(밈 사이트)에서 화제가 된 (코딩 유머 아이템)의 (제품 가격) 트렌드는?,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0003,일본에서 트렌디하게 코딩 유머 아이템 가격이 궁금해요 알려주세요
(10년 추세(2015-2024년)) 기간 (한국) (개발자 밈 굿즈) 상위 브랜드를 (브랜드 인지도) 기준으로 정리해주세요,개발자 밈 굿즈,한국,,탐색,보통,개발자 밈 굿즈,브랜드 인지도,한국,10년 추세(2015-2024년),IT 뉴스,KO 0.8 : EN 0.2,탐색,보통,(10년 추세(2015-2024년)) 기간 (한국) (개발자 밈 굿즈) 상위 브랜드를 (브랜드 인지도) 기준으로 정리해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0004,한국에서 트렌디하게 개발자 선물 추천해주세요
iOVU에서 (개발자 밈 굿즈) 제품의 (프린팅 품질)와 서비스 내용을 상담받고 싶습니다,개발자 밈 굿즈,,,거래,보통,개발자 밈 굿즈,프린팅 품질,중국,2024년,밈 사이트,KO 0.8 : EN 0.2,거래,보통,iOVU에서 (개발자 밈 굿즈) 제품의 (프린팅 품질)와 서비스 내용을 상담받고 싶습니다,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0005,글로벌에서 깃허브 문화 굿즈 주문하고 싶어요 도움주세요
(최근 5개월) 기준 (일본) (개발자 밈 굿즈) (배송 속도) 평균 가격은?,개발자 밈 굿즈,일본,,거래,보통,개발자 밈 굿즈,배송 속도,일본,최근 5개월,IT 뉴스,KO 0.8 : EN 0.2,거래,보통,(최근 5개월) 기준 (일본) (개발자 밈 굿즈) (배송 속도) 평균 가격은?,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0006,일본에서 고품질로 해커톤 굿즈 대량 구매 가능한가요 문의드려요
(2019-2023년) 기준 (미국) (개발자 밈 굿즈) (밈 트렌드 반영도) 평균 가격은?,개발자 밈 굿즈,미국,,거래,보통,개발자 밈 굿즈,밈 트렌드 반영도,미국,2019-2023년,개발자 커뮤니티,KO 0.8 : EN 0.2,거래,보통,(2019-2023년) 기준 (미국) (개발자 밈 굿즈) (밈 트렌드 반영도) 평균 가격은?,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0007,미국에서 고품질로 깃허브 문화 굿즈 주문하고 싶어요 상담받고 싶어요
(개발자 밈 굿즈) 제품의 (바이럴 지수) 기준과 (일본) 배송을 고려한 구매 가이드,개발자 밈 굿즈,일본,,거래,보통,개발자 밈 굿즈,바이럴 지수,일본,2024년,깃허브 트렌드,KO 0.8 : EN 0.2,거래,보통,(개발자 밈 굿즈) 제품의 (바이럴 지수) 기준과 (일본) 배송을 고려한 구매 가이드,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0008,일본에서 고품질로 개발자 밈 굿즈 찾고 있어요 도움주세요
(너디 패션) 분야에서 (바이럴 지수)가 우수한 브랜드를 추천해주세요,너디 패션,,,탐색,보통,너디 패션,바이럴 지수,캐나다,최근 3개월,밈 사이트,KO 0.8 : EN 0.2,탐색,보통,(너디 패션) 분야에서 (바이럴 지수)가 우수한 브랜드를 추천해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0009,고품질로 너디 패션 브랜드 추천해주세요 문의드려요
(코딩 유머 아이템) 제품의 (고객 응답) 기준과 (미국) 배송을 고려한 구매 가이드,코딩 유머 아이템,미국,,거래,보통,코딩 유머 아이템,고객 응답,미국,2019-2023년,개발자 커뮤니티,KO 0.8 : EN 0.2,거래,보통,(코딩 유머 아이템) 제품의 (고객 응답) 기준과 (미국) 배송을 고려한 구매 가이드,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0010,미국에서 전문적으로 코딩 유머 아이템 가격이 궁금해요 상담받고 싶어요
(내구성)를 고려한 (개발자 밈 굿즈) 최적 구매 옵션,개발자 밈 굿즈,미국,,거래,보통,개발자 밈 굿즈,내구성,미국,2024년,IT 뉴스,KO 0.8 : EN 0.2,거래,보통,(내구성)를 고려한 (개발자 밈 굿즈) 최적 구매 옵션,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0011,미국에서 전문적으로 깃허브 문화 굿즈 주문하고 싶어요 문의드려요
(10년 추세(2015-2024년)) 기간 (일본) (힐링 개발템) 상위 브랜드를 (프린팅 품질) 기준으로 정리해주세요,힐링 개발템,일본,,탐색,보통,힐링 개발템,프린팅 품질,일본,10년 추세(2015-2024년),IT 뉴스,KO 0.8 : EN 0.2,탐색,보통,(10년 추세(2015-2024년)) 기간 (일본) (힐링 개발템) 상위 브랜드를 (프린팅 품질) 기준으로 정리해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0012,일본에서 트렌디하게 힐링 개발템 어디서 사나요 도움주세요
(IT 뉴스)에서 인기 있는 (개발자 밈 굿즈) 브랜드들의 (바이럴 지수) 비교,개발자 밈 굿즈,,,탐색,보통,개발자 밈 굿즈,바이럴 지수,한국,2019-2023년,IT 뉴스,KO 0.8 : EN 0.2,탐색,보통,(IT 뉴스)에서 인기 있는 (개발자 밈 굿즈) 브랜드들의 (바이럴 지수) 비교,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0013,급하게 개발자 정체성 표현 굿즈 추천 상담받고 싶어요
(IT 뉴스)에서 추천하는 (프로그래머 라이프스타일) 제품 구매 전략,프로그래머 라이프스타일,,,거래,보통,프로그래머 라이프스타일,내구성,영국,최근 3개월,IT 뉴스,KO 0.8 : EN 0.2,거래,보통,(IT 뉴스)에서 추천하는 (프로그래머 라이프스타일) 제품 구매 전략,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0014,프로그래머 라이프스타일 제품 문의 알려주세요
