prompt,query,sample_id,template_used,extracted_keywords_practice_area,extracted_keywords_region,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_region,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,brand_info_name,brand_info_description,brand_info_website,brand_info_slogan,brand_info_concept,brand_info_target,brand_info_specialties,brand_info_products,brand_info_features
한국 지역 알고리즘 스티커 디자인 현황 알려주세요,한국 지역 알고리즘 스티커 디자인 현황 알려주세요,iovu_success_0001,{region} 지역 {tech_keyword} {product} {metric} 현황 알려주세요,알고리즘 스티커,한국,디자인,정보,쉬움,알고리즘 스티커,디자인,한국,최근 1년,개발자 포럼,KO 0.8 : EN 0.2,정보,쉬움,,,,,,,,,
iOVU 백엔드 머그컵의 평점 정보가 필요해요,iOVU 백엔드 머그컵의 평점 정보가 필요해요,iovu_success_0002,iOVU {tech_keyword} {product}의 {metric} 정보가 필요해요,백엔드 머그컵,울산,평점,정보,쉬움,백엔드 머그컵,평점,울산,최근 3개월,쇼핑몰 리뷰,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
IT 관련 iOVU 티셔츠 착용감가 궁금합니다,IT 관련 iOVU 티셔츠 착용감가 궁금합니다,iovu_success_0003,{tech_keyword} 관련 {product} {metric}가 궁금합니다,IT 티셔츠,부산,착용감,정보,쉬움,IT 티셔츠,착용감,부산,최근 3개월,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
스타트업 관련 노트북스티커 인기도가 궁금합니다,스타트업 관련 노트북스티커 인기도가 궁금합니다,iovu_success_0004,{tech_keyword} 관련 {product} {metric}가 궁금합니다,스타트업 노트북스티커,광안리,인기도,정보,쉬움,스타트업 노트북스티커,인기도,광안리,최근 1년,개발자 포럼,KO 0.8 : EN 0.2,정보,쉬움,,,,,,,,,
데브옵스 커뮤니티에서 인기있는 iOVU 에코백 착용감 궁금해요,데브옵스 커뮤니티에서 인기있는 iOVU 에코백 착용감 궁금해요,iovu_success_0005,{tech_keyword} 커뮤니티에서 인기있는 {product} {metric} 궁금해요,데브옵스 에코백,해운대구,착용감,정보,쉬움,데브옵스 에코백,착용감,해운대구,올해,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
깃허브 개발자를 위한 굿즈 가격 정보 필요합니다,깃허브 개발자를 위한 굿즈 가격 정보 필요합니다,iovu_success_0006,{tech_keyword} 개발자를 위한 {product} {metric} 정보 필요합니다,깃허브 굿즈,수영구,가격,정보,쉬움,깃허브 굿즈,가격,수영구,최근 3개월,쇼핑몰 리뷰,KO 0.8 : EN 0.2,정보,쉬움,,,,,,,,,
GitHub 개발자를 위한 iOVU 핀 트렌드 정보 필요합니다,GitHub 개발자를 위한 iOVU 핀 트렌드 정보 필요합니다,iovu_success_0007,{tech_keyword} 개발자를 위한 {product} {metric} 정보 필요합니다,GitHub 핀,센텀시티,트렌드,정보,쉬움,GitHub 핀,트렌드,센텀시티,최근 1년,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
개발자 개발자를 위한 노트북스티커 트렌드 정보 필요합니다,개발자 개발자를 위한 노트북스티커 트렌드 정보 필요합니다,iovu_success_0008,{tech_keyword} 개발자를 위한 {product} {metric} 정보 필요합니다,개발자 노트북스티커,수영구,트렌드,정보,쉬움,개발자 노트북스티커,트렌드,수영구,최근 1년,IT 뉴스,KO 0.8 : EN 0.2,정보,쉬움,,,,,,,,,
iOVU 커밋 텀블러의 착용감 정보가 필요해요,iOVU 커밋 텀블러의 착용감 정보가 필요해요,iovu_success_0009,iOVU {tech_keyword} {product}의 {metric} 정보가 필요해요,커밋 텀블러,김해,착용감,정보,쉬움,커밋 텀블러,착용감,김해,올해,IT 뉴스,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
프로그래머 개발자를 위한 iOVU 파우치 프린팅품질 정보 필요합니다,프로그래머 개발자를 위한 iOVU 파우치 프린팅품질 정보 필요합니다,iovu_success_0010,{tech_keyword} 개발자를 위한 {product} {metric} 정보 필요합니다,프로그래머 파우치,센텀시티,프린팅품질,정보,쉬움,프로그래머 파우치,프린팅품질,센텀시티,최근 1년,쇼핑몰 리뷰,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
