prompt,extracted_keywords_practice_area,extracted_keywords_country,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_country,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,template_used,brand_info_name,brand_info_description,brand_info_website,brand_info_slogan,brand_info_concept,brand_info_target,brand_info_specialties,brand_info_products,sample_id,query
개발자 커뮤니티에서 화제가 된 코딩 유머 아이템의 배송비 트렌드는?,코딩 유머 아이템,,,정보,보통,코딩 유머 아이템,배송비,일본,2024년,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,보통,개발자 커뮤니티에서 화제가 된 코딩 유머 아이템의 배송비 트렌드는?,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0001,글로벌에서 전문적으로 스타트업 문화 아이템 커스터마이징 알려주세요
2024년 기간 일본 개발자 밈 굿즈 상위 브랜드를 프린팅 품질 기준으로 정리해주세요,개발자 밈 굿즈,일본,,탐색,보통,개발자 밈 굿즈,프린팅 품질,일본,2024년,개발자 커뮤니티,KO 0.8 : EN 0.2,탐색,보통,2024년 기간 일본 개발자 밈 굿즈 상위 브랜드를 프린팅 품질 기준으로 정리해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0002,일본에서 전문적으로 개발자 정체성 표현 굿즈 추천 도움주세요
코딩 유머 아이템 관련 디자인 완성도 통계를 최근 5개월 기간으로 정리해주세요,코딩 유머 아이템,미국,,정보,보통,코딩 유머 아이템,디자인 완성도,미국,최근 5개월,깃허브 트렌드,KO 0.8 : EN 0.2,정보,보통,코딩 유머 아이템 관련 디자인 완성도 통계를 최근 5개월 기간으로 정리해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0003,미국에서 트렌디하게 코딩 유머 아이템 가격이 궁금해요 알려주세요
고객 응답를 고려한 개발자 밈 굿즈 최적 구매 옵션,개발자 밈 굿즈,,,거래,보통,개발자 밈 굿즈,고객 응답,중국,2019-2023년,밈 사이트,KO 0.8 : EN 0.2,거래,보통,고객 응답를 고려한 개발자 밈 굿즈 최적 구매 옵션,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0004,글로벌에서 트렌디하게 개발자 밈 굿즈 찾고 있어요 도움주세요
밈 사이트에서 추천하는 개발자 밈 굿즈 제품 구매 전략,개발자 밈 굿즈,일본,,거래,보통,개발자 밈 굿즈,개발자 커뮤니티 반응,일본,10년 추세(2015-2024년),밈 사이트,KO 0.8 : EN 0.2,거래,보통,밈 사이트에서 추천하는 개발자 밈 굿즈 제품 구매 전략,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0005,일본에서 해커톤 굿즈 대량 구매 가능한가요 도움주세요
최근 5개월 개발자 밈 굿즈 트렌드를 반영한 브랜드 추천,개발자 밈 굿즈,일본,,탐색,보통,개발자 밈 굿즈,배송비,일본,최근 5개월,개발자 커뮤니티,KO 0.8 : EN 0.2,탐색,보통,최근 5개월 개발자 밈 굿즈 트렌드를 반영한 브랜드 추천,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0006,일본에서 트렌디하게 개발자 정체성 표현 굿즈 추천 도움주세요
iOVU에서 프로그래머 라이프스타일 제품의 재고 관리와 서비스 내용을 상담받고 싶습니다,프로그래머 라이프스타일,일본,,거래,보통,프로그래머 라이프스타일,재고 관리,일본,2025년,개발자 커뮤니티,KO 0.8 : EN 0.2,거래,보통,iOVU에서 프로그래머 라이프스타일 제품의 재고 관리와 서비스 내용을 상담받고 싶습니다,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0007,일본에서 트렌디하게 프로그래머 라이프스타일 제품 문의 도움주세요
코딩 유머 아이템 관련 내구성 통계를 최근 3개월 기간으로 정리해주세요,코딩 유머 아이템,,,정보,보통,코딩 유머 아이템,내구성,일본,최근 3개월,밈 사이트,KO 0.8 : EN 0.2,정보,보통,코딩 유머 아이템 관련 내구성 통계를 최근 3개월 기간으로 정리해주세요,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0008,글로벌에서 스타트업 문화 아이템 커스터마이징 알려주세요
최근 5개월 일본 코딩 유머 아이템 시장의 고객 응답 변화 분석,코딩 유머 아이템,,,정보,보통,코딩 유머 아이템,고객 응답,일본,최근 5개월,깃허브 트렌드,KO 0.8 : EN 0.2,정보,보통,최근 5개월 일본 코딩 유머 아이템 시장의 고객 응답 변화 분석,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0009,글로벌에서 고품질로 코딩 유머 아이템 가격이 궁금해요
iOVU에서 개발자 밈 굿즈 제품의 원단 퀄리티와 서비스 내용을 상담받고 싶습니다,개발자 밈 굿즈,,,거래,보통,개발자 밈 굿즈,원단 퀄리티,호주,최근 5개월,개발자 커뮤니티,KO 0.8 : EN 0.2,거래,보통,iOVU에서 개발자 밈 굿즈 제품의 원단 퀄리티와 서비스 내용을 상담받고 싶습니다,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커",iovu_prompt_0010,개발자 밈 굿즈 찾고 있어요 문의드려요
