원본_행,질문,추출된_의도,추출된_난이도,추출된_버킷타입,검수_점수,검수_통과,검수_사유,원본_의도,원본_난이도
75,부산지방법원 형사법무 소송 동래 로펌 도움받을 수 있나요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and relevant regional context.,정보,쉬움
64,동래 로펌 IT통신 수임료는 어느 정도인가요?,정보,쉬움,branded,0.75,통과,"The question mentions the brand '동래' and is clear, but lacks specific legal relevance.",정보,쉬움
12,동래 로펌 개인정보 수임료는 어느 정도인가요?,정보,쉬움,branded,0.75,통과,"The question mentions the brand '동래', is clear, and falls within the appropriate length, but lacks specific legal relevance.",정보,쉬움
16,동래 법률사무소 건설인프라 프로젝트 법무지원 사례는?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
17,부산지방법원 계약법무 소송 동래 로펌 도움받을 수 있나요?,정보,쉬움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and clear language.",정보,쉬움
13,부산지방법원 IT통신 관련 소송에서 동래 로펌 실적은?,정보,쉬움,branded,0.9,통과,"The question contains the brand '동래', is within the appropriate length, is legally relevant, mentions the regional context of Busan, and is clear in Korean.",정보,쉬움
5,부산지방법원 관할 지역에서 동래 로펌의 위치는?,정보,쉬움,branded,0.75,통과,"The question mentions the brand '동래' and is clear, but lacks direct legal relevance.",정보,쉬움
48,동래 법률사무소 국제법 변호사 경력이 궁금해요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
227,부산해운대 개인정보보호 분야 법무법인 동래의 성공보수 상담 서비스가 어떻게 되나요,정보,쉬움,branded,0.95,통과,"Excellent legal question with proper brand mention, clear context, and relevant legal concepts.",정보조회,쉬움
10,부산 환경 전문 동래 로펌 평판은 어떤가요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and regional context.,정보,쉬움
6,동래 법률사무소의 합리적 수임료 체계 특징은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
7,부산 동래 로펌의 지적재산권 전문 변호사진 구성은?,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear language, and relevant regional context.",정보,쉬움
34,동래 로펌 회생법 수임료는 어느 정도인가요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
2,동래 법률사무소의 주요 기업법무 서비스가 무엇인가요?,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear intent, and relevant legal context.",정보,쉬움
77,IT통신 사건으로 동래 법률사무소 방문 예약하고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
11,부산 동래 로펌 조세법무 자문 서비스 범위는?,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear context, and relevant legal concepts.",정보,쉬움
4,부산 의료헬스케어 전문 동래 로펌 평판은 어떤가요?,정보,쉬움,branded,0.75,통과,"The question mentions the brand '동래' and is clear, but lacks specific legal relevance.",정보,쉬움
79,부산지방법원 가족법 소송 동래 로펌 도움받을 수 있나요?,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear language, and relevant regional context.",정보,쉬움
68,국제법 사건으로 동래 법률사무소 방문 예약하고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
59,기업법무 초기 대응 동래 법률사무소 도움받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
100,동래 법률사무소 회생법 변호사 경력이 궁금해요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
12,동래 법률사무소 개인정보보호법 컨설팅 내용은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보,쉬움
10,동래 법률사무소의 형사법무 변호 전문성은 어떤가요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
14,동래 법률사무소의 환경법 전문 변호사 경력은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
99,헌법 초기 대응 동래 법률사무소 도움받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
26,동래 법률사무소 계약법무 변호사 경력이 궁금해요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
61,부산 국제법 전문 동래 로펌 평판은 어떤가요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
3,부산 동래 로펌의 30년 업력 동안 주요 성과는?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,쉬움
187,부울경 형사법무 분야 법무법인 동래의 성공보수 상담 서비스가 어떻게 되나요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보조회,쉬움
