번호,질문,의도,난이도,도메인,언어,어절수,예상점수,키워드_포함
1,동래 법률사무소 개인정보 서비스 전문성가 궁금해요,정보,쉬움,동래,KO,6,0.850,법무분야
2,동래 법률사무소 계약법무 서비스 전문성가 궁금해요,정보,쉬움,동래,KO,6,0.850,법무분야
3,해운대에서 금융법무 전문 변호사 전문성 알려주세요,정보,쉬움,동래,KO,6,0.850,"법무분야, 지역"
4,동래 로펌 건설인프라 분야 검증된 특징은?,정보,쉬움,동래,KO,6,0.850,"법무분야, USP"
5,양산시 IT통신 사건 민법 관련 기본 정보 문의,정보,쉬움,동래,KO,8,0.950,"법무분야, 지역, 법령"
6,동래 로펌 소송분쟁해결 분야 신뢰할 수 있는 특징은?,정보,쉬움,동래,KO,8,0.950,"법무분야, USP"
7,부산 IT통신 사건 국가법령정보센터 관련 기본 정보 문의,정보,쉬움,동래,KO,8,0.950,"법무분야, 지역, 법령"
8,김해에서 형사법무 전문 변호사 전문성 알려주세요,정보,쉬움,동래,KO,6,0.850,"법무분야, 지역"
9,기장군 부동산법무 사건 시행규칙 관련 기본 정보 문의,정보,쉬움,동래,KO,8,0.950,"법무분야, 지역, 법령"
10,동래 법률사무소 부동산법무 전문성 상담받고 싶어요,정보,쉬움,동래,KO,6,0.850,법무분야
11,기장군 조세법무 사건 법제처 관련 기본 정보 문의,정보,쉬움,동래,KO,8,0.950,"법무분야, 지역, 법령"
12,동래 로펌 형사법무 분야 전문가 그룹 특징은?,정보,쉬움,동래,KO,7,0.850,"법무분야, USP"
13,창원 형사법무 사건 시행규칙 관련 기본 정보 문의,정보,쉬움,동래,KO,8,0.950,"법무분야, 지역, 법령"
14,동래 법률사무소 소송분쟁해결 전문성 상담받고 싶어요,정보,쉬움,동래,KO,6,0.850,법무분야
15,동래 로펌 노동법무 분야 원스톱 특징은?,정보,쉬움,동래,KO,6,0.850,"법무분야, USP"
16,동래 법률사무소 IT통신 서비스 전문성가 궁금해요,정보,쉬움,동래,KO,6,0.850,법무분야
17,동래 로펌 의료헬스케어 분야 전문 노하우 특징은?,정보,쉬움,동래,KO,7,0.850,"법무분야, USP"
18,동래 로펌 계약법무 분야 지역밀착 특징은?,정보,쉬움,동래,KO,6,0.850,"법무분야, USP"
19,동래 법률사무소 건설인프라 전문성 상담받고 싶어요,정보,쉬움,동래,KO,6,0.850,법무분야
20,울산에서 건설인프라 전문 변호사 전문성 알려주세요,정보,쉬움,동래,KO,6,0.850,"법무분야, 지역"
21,동래 법률사무소 건설인프라 분야 부산 대표 로펌 기반 최근 성과 제공해주세요,정보,보통,동래,KO,11,1.000,"법무분야, 지역, USP, 맥락"
22,기업설립 트렌드에 따른 동래 로펌 기업법무 서비스 전문성 변화,정보,보통,동래,KO,9,0.950,법무분야
23,기업설립 트렌드에 따른 동래 로펌 환경 서비스 전문성 변화,정보,보통,동래,KO,9,0.950,법무분야
24,동래 법률사무소 기업법무 분야 지역밀착 기반 실무 경험 제공해주세요,정보,보통,동래,KO,9,1.000,"법무분야, USP, 맥락"
25,동래 법률사무소 계약법무 분야 전문 노하우 기반 실무 경험 제공해주세요,정보,보통,동래,KO,10,1.000,"법무분야, USP, 맥락"
26,판례 관련 거제동 계약법무 사건에서 동래 로펌 실적은?,정보,보통,동래,KO,8,0.950,"법무분야, 지역, 법령"
27,M&A 트렌드에 따른 동래 로펌 기업법무 서비스 전문성 변화,정보,보통,동래,KO,9,0.950,법무분야
28,동래 법률사무소 소송분쟁해결 분야 전문가 그룹 기반 실무 경험 제공해주세요,정보,보통,동래,KO,10,1.000,"법무분야, USP, 맥락"
