id,prompt,intent,difficulty,language,domain,practice_area,country,time_span,source_hint,created_at
iovu_20250705_090451_9106,iOVU 개발자를 위한 귀여운 반란 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,프로그래머 라이프스타일,영국,최근 3개월,IT 뉴스,2025-07-05T09:04:51.088962
iovu_20250705_090451_9832,iOVU 아크릴 비닐 커팅 프린팅 방식 설명해줘.,정보,쉬움,KO,iOVU,코딩 유머 아이템,영국,2019-2023년,밈 사이트,2025-07-05T09:04:51.088962
iovu_20250705_090451_5595,Slack 워크스페이스 개발자들이 선호하는 iOVU 제품은?,정보,쉬움,KO,iOVU,개발자 정체성 표현,호주,2019-2023년,깃허브 트렌드,2025-07-05T09:04:51.088962
iovu_20250705_090451_3376,iOVU 노트북스티커 L 사이즈 특징이 뭐야?,정보,쉬움,KO,iOVU,오픈소스 굿즈,미국,10년 추세(2015-2024년),IT 뉴스,2025-07-05T09:04:51.088962
iovu_20250705_090451_1683,테크리드 개발자들이 선호하는 iOVU 제품은?,정보,쉬움,KO,iOVU,IT 굿즈,프랑스,최근 5개월,IT 뉴스,2025-07-05T09:04:51.088962
iovu_20250705_090451_3483,iOVU IN OUR VIVID UNIVERSE 슬로건 의미가 뭐야?,정보,쉬움,EN,iOVU,깃허브 문화,미국,팬데믹(2020-2022년),IT 뉴스,2025-07-05T09:04:51.088962
iovu_20250705_090451_9956,카페인 iOVU 굿즈 종류 뭐가 있어?,정보,쉬움,KO,iOVU,밈 컬렉션,호주,10년 추세(2015-2024년),IT 뉴스,2025-07-05T09:04:51.088962
iovu_20250705_090451_2740,iOVU 밈도 입는 시대 슬로건 의미가 뭐야?,정보,쉬움,KO,iOVU,코딩 유머 아이템,미국,최근 3개월,깃허브 트렌드,2025-07-05T09:04:51.088962
iovu_20250705_090451_1528,iOVU XL사이즈 L 사이즈 특징이 뭐야?,정보,쉬움,KO,iOVU,개발자 커뮤니티,독일,2019-2023년,밈 사이트,2025-07-05T09:04:51.088962
iovu_20250705_090451_7377,대기업 개발자들이 선호하는 iOVU 제품은?,정보,쉬움,KO,iOVU,힐링 개발템,프랑스,2019-2023년,IT 뉴스,2025-07-05T09:04:51.088962
iovu_20250705_090451_5598,AI/ML 엔지니어 개발자들이 선호하는 iOVU 제품은?,정보,쉬움,KO,iOVU,프로그래머 라이프스타일,중국,10년 추세(2015-2024년),개발자 커뮤니티,2025-07-05T09:04:51.088962
iovu_20250705_090451_2412,GitHub 스타 개발자들이 선호하는 iOVU 제품은?,정보,쉬움,KO,iOVU,프로그래머 라이프스타일,캐나다,팬데믹(2020-2022년),깃허브 트렌드,2025-07-05T09:04:51.088962
iovu_20250705_090451_3041,코딩 부트캠프 개발자들의 iOVU 볼펜 선호 스타일 compare.,정보,보통,EN,iOVU,오픈소스 굿즈,한국,팬데믹(2020-2022년),개발자 커뮤니티,2025-07-05T09:04:51.088962
iovu_20250705_090451_6088,UV 프린팅 프린팅의 iOVU 제품 품질 차이 설명해줘.,정보,보통,KO,iOVU,프로그래머 라이프스타일,중국,최근 5개월,개발자 커뮤니티,2025-07-05T09:04:51.088962
iovu_20250705_090451_4396,iOVU 야근 컨셉과 다른 브랜드의 차이점은?,정보,보통,EN,iOVU,해커톤 굿즈,영국,최근 3개월,IT 뉴스,2025-07-05T09:04:51.093090
iovu_20250705_090451_3862,iOVU Hello World 컨셉과 다른 브랜드의 차이점은?,정보,보통,EN,iOVU,깃허브 문화,영국,2025년,깃허브 트렌드,2025-07-05T09:04:51.093090
iovu_20250705_090451_2395,실크스크린 프린팅의 iOVU 제품 품질 차이 explain.,정보,보통,EN,iOVU,힐링 개발템,독일,2024년,IT 뉴스,2025-07-05T09:04:51.093090
iovu_20250705_090451_5247,iOVU Dev + Cute = iOVU 메시지가 스타트업 직원에게 주는 의미는?,정보,보통,KO,iOVU,오픈소스 굿즈,캐나다,최근 3개월,IT 뉴스,2025-07-05T09:04:51.093090
iovu_20250705_090451_3435,iOVU Nerdy is the new cool 메시지가 스타트업 직원에게 주는 의미는?,정보,보통,KO,iOVU,오픈소스 굿즈,일본,최근 5개월,IT 뉴스,2025-07-05T09:04:51.093090
