번호,질문,의도,난이도,도메인,언어,어절수,키워드_포함
1,부산 국제법 전문 로펌 평판은 어떤가요?,정보,쉬움,법무,KO,6,"법무분야, 지역"
2,부산 가족법 전문 로펌 평판은 어떤가요?,탐색,쉬움,법무,KO,6,"법무분야, 지역"
3,지적재산권 수임료는 어느 정도인가요?,거래,쉬움,법무,KO,4,법무분야
4,노동법무 변호사 경력이 궁금해요,정보,쉬움,법무,KO,4,법무분야
5,부산 경남에서 계약법무 전문 변호사 찾고 있어요,거래,쉬움,법무,KO,7,"법무분야, 지역"
6,상속법 사건으로 법률사무소 방문 예약하고 싶어요,정보,쉬움,법무,KO,6,법무분야
7,동래구 거주자인데 부동산법무 상담 받고 싶어요,정보,쉬움,법무,KO,6,"법무분야, 지역"
8,헌법 수임료는 어느 정도인가요?,정보,쉬움,법무,KO,4,법무분야
9,부동산법무 사건으로 법률사무소 방문 예약하고 싶어요,정보,쉬움,법무,KO,6,법무분야
10,부산지방법원 행정법 소송 도움받을 수 있나요?,정보,쉬움,법무,KO,6,"법무분야, 지역"
11,센텀시티 지역 상속법 전문가 중에서 편의성 좋은 곳 추천해주세요,탐색,보통,법무,KO,9,"법무분야, 지역"
12,동남권 지역 조세법무 전문가 중에서 시간 단축 좋은 곳 추천해주세요,탐색,보통,법무,KO,10,"법무분야, 지역"
13,거제동 기반 지적재산권 전문 변호사들의 실적 비교해주세요,정보,보통,법무,KO,7,"법무분야, 지역"
14,개인정보 관련 수영구 법률사무소들의 비용 효율성 차이점은?,탐색,보통,법무,KO,7,"법무분야, 지역"
15,부산 상속법 분야에서 접근성 우수한 로펌들 순위는?,탐색,보통,법무,KO,7,"법무분야, 지역"
16,IT통신 사건 처리 시 경남 법무법인들의 접근 방식 비교,탐색,보통,법무,KO,9,"법무분야, 지역"
17,금융법무 관련 기장군 법률사무소 선택 기준과 추천 리스트,탐색,보통,법무,KO,8,"법무분야, 지역"
18,부산 노동법무 분야에서 편의성 우수한 로펌들 순위는?,거래,보통,법무,KO,7,"법무분야, 지역"
19,기장군 지역 국제법 전문가 중에서 전문성 좋은 곳 추천해주세요,탐색,보통,법무,KO,9,"법무분야, 지역"
20,부산 증권법 분야에서 편의성 우수한 로펌들 순위는?,거래,보통,법무,KO,7,"법무분야, 지역"
21,가족법 관련 서면 법률사무소들의 시간 단축 차이점은?,탐색,보통,법무,KO,7,"법무분야, 지역"
22,금융법무 분야 서면 지역 전문 법무법인을 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역, USP"
23,센텀시티 기반 개인정보 전문 변호사들의 실적 비교해주세요,탐색,보통,법무,KO,7,"법무분야, 지역"
24,행정법 관련 영남권 법률사무소들의 신뢰도 차이점은?,정보,보통,법무,KO,6,"법무분야, 지역"
