prompt,extracted_keywords_practice_area,extracted_keywords_region,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_region,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,template_used,brand_info_name,brand_info_english_name,brand_info_website,brand_info_location,brand_info_phone,brand_info_established,brand_info_experience,brand_info_specialties,brand_info_slogan,brand_info_target_regions,sample_id,query
(최근5년) 기준 (부산) (소송및분쟁해결) 분야의 (파트너수)를 알려줘.,,부산,,정보조회,보통,소송및분쟁해결,파트너수,부산,최근5년,대한변협,KO 0.9 : EN 0.1,정보조회,보통,(최근5년) 기준 (부산) (소송및분쟁해결) 분야의 (파트너수)를 알려줘.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0001,부산에서 교통사고 변호사를 찾고 있어요
(2019-2023년) 기준 (부산) (IT통신법무) 변호사 (해결율) 평균은?,,부산,,거래상담,보통,IT통신법무,해결율,부산,2019-2023년,법무부통계,KO 0.9 : EN 0.1,거래상담,보통,(2019-2023년) 기준 (부산) (IT통신법무) 변호사 (해결율) 평균은?,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0002,부산에서 교통사고 변호사를 찾고 있어요 도움주세요
(2024년) 기준 (부산) (소송및분쟁해결) 변호사 (시간당비용) 평균은?,,부산,,거래상담,보통,소송및분쟁해결,시간당비용,부산,2024년,법원행정처,KO 0.9 : EN 0.1,거래상담,보통,(2024년) 기준 (부산) (소송및분쟁해결) 변호사 (시간당비용) 평균은?,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0003,부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요
(지적재산권) 사건의 (서비스품질) 기준과 (부산) 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요.,,부산,,거래상담,보통,지적재산권,서비스품질,부산,최근5년,대한변협,KO 0.9 : EN 0.1,거래상담,보통,(지적재산권) 사건의 (서비스품질) 기준과 (부산) 지역 특성을 고려한 변호사 선택 가이드를 제공해주세요.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0004,부산에서 교통사고 변호사를 찾고 있어요 문의드려요
(부산)에서 (금융법무) 전문 변호사의 (해결율)와 (부산법원) 정보를 종합해서 설명해주세요.,,부산,,정보조회,보통,금융법무,해결율,부산,최근3년,부산법원,KO 0.9 : EN 0.1,정보조회,보통,(부산)에서 (금융법무) 전문 변호사의 (해결율)와 (부산법원) 정보를 종합해서 설명해주세요.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0005,부산에서 교통사고 변호사를 찾고 있어요 알려주세요
(2019-2023년) 기준 (부산) (개인정보보호) 분야의 (서비스품질)를 알려줘.,,부산,,정보조회,보통,개인정보보호,서비스품질,부산,2019-2023년,법률신문,KO 0.9 : EN 0.1,정보조회,보통,(2019-2023년) 기준 (부산) (개인정보보호) 분야의 (서비스품질)를 알려줘.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0006,급하게 부산에서 교통사고 변호사를 찾고 있어요
(팬데믹이후) 기준 (부산) (금융법무) 변호사 (수임료) 평균은?,,부산,,거래상담,보통,금융법무,수임료,부산,팬데믹이후,대한변협,KO 0.9 : EN 0.1,거래상담,보통,(팬데믹이후) 기준 (부산) (금융법무) 변호사 (수임료) 평균은?,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0007,급하게 부산에서 교통사고 변호사를 찾고 있어요 도움주세요
법무법인 동래에서 (건설인프라법무) 사건의 (해결율)와 서비스 내용을 상담받고 싶습니다.,,부산,,거래상담,보통,건설인프라법무,해결율,부산,최근5년,법률신문,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래에서 (건설인프라법무) 사건의 (해결율)와 서비스 내용을 상담받고 싶습니다.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0008,급하게 부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요
법무법인 동래에서 (기업법무) 사건의 (시설규모)와 서비스 내용을 상담받고 싶습니다.,,부산,,거래상담,보통,기업법무,시설규모,부산,2019-2023년,부산지방법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래에서 (기업법무) 사건의 (시설규모)와 서비스 내용을 상담받고 싶습니다.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0009,급하게 부산에서 교통사고 변호사를 찾고 있어요 문의드려요
(부산)에서 (금융법무) 전문 변호사의 (해결율)와 (대한변협) 정보를 종합해서 설명해주세요.,,부산,,정보조회,보통,금융법무,해결율,부산,2025년,대한변협,KO 0.9 : EN 0.1,정보조회,보통,(부산)에서 (금융법무) 전문 변호사의 (해결율)와 (대한변협) 정보를 종합해서 설명해주세요.,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남",simple_prompt_0010,급하게 부산에서 교통사고 변호사를 찾고 있어요 알려주세요
