id,prompt,intent,difficulty,language,domain,practice_area,country,time_span,source_hint,created_at
iovu_20250704_173315_1026,iOVU Dev + Cute = iOVU 슬로건의 의미가 뭐야?,정보,쉬움,KO,iOVU,개발자 밈 굿즈,독일,최근 5개월,개발자 커뮤니티,2025-07-04T17:33:15.409934
iovu_20250704_173315_7941,iOVU IN OUR VIVID UNIVERSE 슬로건의 의미가 뭐야?,정보,쉬움,EN,iOVU,힐링 개발템,캐나다,최근 5개월,개발자 커뮤니티,2025-07-04T17:33:15.409934
iovu_20250704_173315_8429,브랜치 관련 iOVU 굿즈 종류가 뭐가 있어?,정보,쉬움,KO,iOVU,스타트업 문화,독일,2025년,밈 사이트,2025-07-04T17:33:15.409934
iovu_20250704_173315_3221,NullPointer 관련 iOVU 굿즈 종류가 뭐가 있어?,정보,쉬움,KO,iOVU,너디 패션,중국,2025년,개발자 커뮤니티,2025-07-04T17:33:15.409934
iovu_20250704_173315_1977,iOVU 개발자를 위한 귀여운 반란 슬로건의 의미가 뭐야?,정보,쉬움,KO,iOVU,힐링 개발템,일본,최근 5개월,깃허브 트렌드,2025-07-04T17:33:15.409934
iovu_20250704_173315_6801,iOVU Meme Lover 슬로건의 의미가 뭐야?,정보,쉬움,KO,iOVU,너디 패션,캐나다,2019-2023년,밈 사이트,2025-07-04T17:33:15.409934
iovu_20250704_173315_8876,iOVU 위트 있는 컨셉과 다른 브랜드 컨셉의 차이점은?,정보,보통,KO,iOVU,밈 컬렉션,호주,최근 5개월,깃허브 트렌드,2025-07-04T17:33:15.409934
iovu_20250704_173315_2877,iOVU 화이트를 비닐 커팅 방식으로 제작할 때 품질 관리는 어떻게 하나요?,정보,보통,KO,iOVU,스타트업 문화,일본,2025년,개발자 커뮤니티,2025-07-04T17:33:15.409934
iovu_20250704_173315_2270,iOVU 힐링하는 코더 메시지가 스타트업 직원 타겟에게 어떤 의미인지 analyze.,정보,보통,EN,iOVU,너디 패션,프랑스,2019-2023년,IT 뉴스,2025-07-04T17:33:15.409934
iovu_20250704_173315_5363,iOVU 테스트 컨셉과 다른 브랜드 컨셉의 차이점은?,정보,보통,KO,iOVU,프로그래머 라이프스타일,캐나다,팬데믹(2020-2022년),깃허브 트렌드,2025-07-04T17:33:15.409934
iovu_20250704_173315_5117,iOVU 캔버스를 열전사 방식으로 제작할 때 품질 관리는 어떻게 하나요?,정보,보통,KO,iOVU,깃허브 문화,캐나다,2019-2023년,깃허브 트렌드,2025-07-04T17:33:15.409934
iovu_20250704_173315_1724,승화전사 프린팅과 일반 프린팅의 품질 차이를 iOVU 제품 기준으로 설명해줘.,정보,보통,KO,iOVU,코딩 유머 아이템,프랑스,2025년,깃허브 트렌드,2025-07-04T17:33:15.409934
iovu_20250704_173315_6503,원단 퀄리티 지표를 기준으로 iOVU 브랜드의 시장 포지셔닝을 전략적으로 analyze.,정보,어려움,EN,iOVU,밈 컬렉션,캐나다,2019-2023년,밈 사이트,2025-07-04T17:33:15.409934
iovu_20250704_173315_1731,할인율 지표를 기준으로 iOVU 브랜드의 시장 포지셔닝을 전략적으로 분석해줘.,정보,어려움,KO,iOVU,밈 컬렉션,미국,2025년,개발자 커뮤니티,2025-07-04T17:33:15.409934
iovu_20250704_173315_3905,iOVU의 개발자 밈 마케팅이 개발자 커뮤니티 브랜딩에 미치는 장기적 효과를 모델링해줘. (https://blog.iovu.co.kr/dev-culture),정보,어려움,KO,iOVU,오픈소스 굿즈,미국,2019-2023년,개발자 커뮤니티,2025-07-04T17:33:15.409934
