원본_행,질문,추출된_의도,추출된_난이도,추출된_버킷타입,검수_점수,검수_통과,검수_사유,원본_의도,원본_난이도
17,부산지방법원 계약법무 소송 동래 로펌 도움받을 수 있나요?,정보,쉬움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and clear language.",정보,쉬움
78,의료헬스케어 초기 대응 동래 법률사무소 도움받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
99,헌법 초기 대응 동래 법률사무소 도움받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
16,동래 법률사무소 건설인프라 프로젝트 법무지원 사례는?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
64,동래 로펌 IT통신 수임료는 어느 정도인가요?,정보,쉬움,branded,0.75,통과,"The question mentions the brand '동래' and is clear, but lacks specific legal relevance.",정보,쉬움
187,부울경 형사법무 분야 법무법인 동래의 성공보수 상담 서비스가 어떻게 되나요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and relevant legal context.,정보조회,쉬움
16,해운대 거주자인데 동래 로펌 국제법 상담 받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,쉬움
8,동래 법률사무소 노동법무 상담 가능한 사건 유형은?,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear intent, and relevant legal context.",정보,쉬움
4,동래 법률사무소 부동산법무팀 전문 분야를 알려주세요,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear intent, and relevant legal context.",정보,쉬움
66,노동법무 사건으로 동래 법률사무소 방문 예약하고 싶어요,정보,쉬움,branded,0.95,통과,Clear and relevant legal question with proper brand mention and intent to schedule a visit.,정보,쉬움
11,부산 동래 로펌 조세법무 자문 서비스 범위는?,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear context, and relevant legal concepts.",정보,쉬움
59,기업법무 초기 대응 동래 법률사무소 도움받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
69,회생법 관련 동래 법률사무소 상담 가능한가요?,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear language, and relevant legal context.",정보,쉬움
68,국제법 사건으로 동래 법률사무소 방문 예약하고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
60,동래 법률사무소 조세법무 관련 무료상담 있나요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
97,부산지방법원 부동산법무 소송 동래 로펌 도움받을 수 있나요?,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear language, and relevant regional context.",정보,쉬움
69,회생법 관련 동래 법률사무소 상담 가능한가요?,정보,쉬움,branded,1.0,통과,"Excellent legal question with proper brand mention, clear language, and relevant legal context.",정보,쉬움
34,동래 로펌 회생법 수임료는 어느 정도인가요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
100,동래 법률사무소 회생법 변호사 경력이 궁금해요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
11,부산 IT통신 전문 동래 로펌 평판은 어떤가요?,정보,쉬움,branded,0.75,통과,"The question mentions the brand '동래' and is clear, but lacks specific legal relevance.",정보,쉬움
34,동래 로펌 회생법 수임료는 어느 정도인가요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
74,수영구 거주자인데 동래 로펌 개인정보 상담 받고 싶어요,정보,쉬움,branded,0.75,통과,"The question mentions the brand '동래' and is clear, but lacks specific legal concepts or scenarios.",정보,쉬움
3,부산 개인정보 전문 동래 로펌 평판은 어떤가요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and regional context.,정보,쉬움
3,부산 동래 로펌의 30년 업력 동안 주요 성과는?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and relevant context.,정보,쉬움
99,헌법 초기 대응 동래 법률사무소 도움받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
57,부산 건설인프라 전문 동래 로펌 평판은 어떤가요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and regional context.,정보,쉬움
77,IT통신 사건으로 동래 법률사무소 방문 예약하고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
10,동래 법률사무소의 형사법무 변호 전문성은 어떤가요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
10,부산 환경 전문 동래 로펌 평판은 어떤가요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and regional context.,정보,쉬움
13,부산지방법원 IT통신 관련 소송에서 동래 로펌 실적은?,정보,쉬움,branded,0.9,통과,"The question contains the brand '동래', is within the appropriate length, is legally relevant, mentions the regional context of Busan, and is clear in Korean.",정보,쉬움
8,조세법무 관련 동래 법률사무소 상담 가능한가요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
8,조세법무 관련 동래 법률사무소 상담 가능한가요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
68,국제법 사건으로 동래 법률사무소 방문 예약하고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
14,동래 법률사무소의 환경법 전문 변호사 경력은?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
70,기업법무 사건으로 동래 법률사무소 방문 예약하고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
77,IT통신 사건으로 동래 법률사무소 방문 예약하고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
15,부산 의료헬스케어 분쟁 동래 로펌 대응 전략은?,정보,쉬움,branded,0.95,통과,"Excellent legal question with proper brand mention, relevant legal context, and regional specificity.",정보,쉬움
38,서면 거주자인데 동래 로펌 국제법 상담 받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
15,국제법 초기 대응 동래 법률사무소 도움받고 싶어요,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention,정보,쉬움
75,부산지방법원 형사법무 소송 동래 로펌 도움받을 수 있나요?,정보,쉬움,branded,0.85,통과,Good legal question with proper brand mention and relevant regional context.,정보,쉬움
6,부산 부산에서 조세법무 전문 변호사 찾고 있어요,정보,쉬움,unbranded,0.75,통과,"The question is clear and relevant to legal services, but it does not mention the brand 'Dongrae' and lacks specific legal concepts.",정보,쉬움
